Year,Subject,Chapter,Level,Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
2025,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,"Mr. 'A' imports cloth from Japan, makes shirts in his factory in Dhaka EPZ, and sells them in Canada. What type of trade is this?",Import,Export,Entrepot,Import-Export,c,Entrepot is the process of importing goods from one country to export them to another after some processing or packaging.
2025,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,What type of utility does transportation create?,Risk-related,Time-based,Form-based,Place-based,d,Transportation creates place utility by moving goods from the place of production to the place of consumption.
2025,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,How many types of utility does commerce (Trade & Aids to trade) create in total?,3,4,5,6,d,"Commerce creates 6 types of utilities: Ownership, Place, Time, Risk, Financial, and Information-based."
2025,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,"Which of the following are included in commerce? (i. Production, ii. Transportation, iii. Warehousing)",i & ii,i & iii,ii & iii,"i, ii & iii",c,"Production is part of Industry, while Transportation and Warehousing are aids to trade under Commerce."
2025,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,"Mr. 'X' buys potatoes from Rangpur, classifies them according to quality, and sells them. What kind of work is this?",Grading,Standardization,Packaging,Warehousing,a,Grading (Grading/Classification) is the process of dividing products into different groups based on pre-set standards.
2025,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,From which language is the word 'Business' derived?,English,Italian,France,French,a,"The word 'Business' comes from the English word 'Busy', meaning the state of being busy in economic activities."
2025,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,Mr. Abir goes to a salon owned by Mr. Aziz to get a haircut. What type of business is this?,Retail Trade,Direct Service,Social Business,Wholesale Trade,b,"Direct services (like doctor, lawyer, or barber) provided for a fee are considered professional direct services."
2025,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,What type of utility is created by buying and selling (Trade)?,Place-based,Time-based,Form-based,Ownership-based,d,"The exchange of goods (purchase and sale) transfers ownership from seller to buyer, creating ownership utility."
2025,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,"Which of the following are part of the Genetic Industry? (i. Fish fry production, ii. Poultry farm, iii. Fruit cultivation)",i & ii,i & iii,ii & iii,"i, ii & iii",d,Genetic industries involve the reproduction and growth of plants and animals for further profit.
2025,Business Org & Mgmt 1st,Chapter 1,Rajshahi Board,Board,How does industry create utility?,Form change,Product transfer,Financing,Buy-sell,a,"Industry transforms raw materials into finished goods, thereby changing their form and creating form utility."
2025,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,Who is the pioneer of the concept of Social Business?,Dr. Md. Yunus,Fazle Hasan Abed,Maksudul Alam,Dr. Amartya Sen,a,"Nobel Laureate Dr. Muhammad Yunus introduced Social Business as a non-loss, non-dividend company to solve social problems."
2025,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,"Which are part of the Genetic Industry? (i. Poultry chicks, ii. Fish fry production, iii. Fruit cultivation)",i & ii,i & iii,ii & iii,"i, ii & iii",d,All three activities involve the biological reproduction and multiplication of species.
2025,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,"Barna Ltd' collects milk powder from various countries, processes it, and sells it to other countries. This is an example of:",Import,Export,Entrepot,Internal Trade,c,Importing goods for the sole purpose of re-exporting them to other foreign markets is called Entrepot.
2025,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,Which barrier does banking remove in business?,Place-based,Financial,Time-based,Form-based,b,"Banking provides the necessary capital and credit facilities, thus removing financial barriers."
2025,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,Which is the primary function of business?,Providing service,Production,Distribution,Exchange,b,Production is the core function of business as it creates the goods intended for exchange and profit.
2025,Business Org & Mgmt 1st,Chapter 1,Dhaka Board,Board,Soap manufacturing belongs to which type of industry?,Compound,Analytical,Process,Assembly,c,Soap manufacturing is a process industry where raw materials pass through various stages to become a final product.
