Year,Subject,Chapter,Level,Category,Stem,Question_A,Question_B,Question_C,Question_D,Ans_A,Ans_B,Ans_C,Ans_D
2025,Finance 2nd Paper,Chapter 2: Central Bank,Dhaka Board,Board,"Mr. Shafi works for a bank that is involved in maintaining money market stability and credit control. On the other hand, Mr. Kafi works for a bank that primarily collects deposits from the public and earns necessary profits through lending. Although their functions differ, Mr. Kafi's bank remains accountable to Mr. Shafi's bank.",What is a State-owned Bank?,What is meant by Banking?,What type of bank is Mr. Shafi's bank mentioned in the stem? Explain.,Analyze the logical basis of Mr. Kafi's bank being accountable to Mr. Shafi's bank.,A state-owned bank is a financial institution whose ownership and control are fully or substantially vested in the government.,"Banking refers to the legal activities performed by a bank, such as collecting deposits, providing loans, and facilitating payments.<br>It encompasses the entire gamut of financial services provided by a bank to its customers under the prevailing laws of the country.","Data: Mr. Shafi's bank is responsible for maintaining money market stability and credit control. <br> Analysis: According to the Central Bank Order 1972, a Central Bank is the apex financial institution of a country that regulates the monetary system and supervises other banks. <br> Conclusion: Since Mr. Shafi's bank performs the core functions of a regulatory authority and credit controller, it is classified as a Central Bank.","Data: Commercial banks like Mr. Kafi's must follow the directives of the Central Bank where Mr. Shafi works. <br> Analysis: The Central Bank acts as the 'Guardian of the Money Market' and the 'Banker of all Banks,' requiring mandatory reserves and compliance. <br> Evaluation: While commercial banks aim for profit, they cannot operate in isolation without the Central Bank's clearing house and lender of last resort facilities. <br> Decision: Therefore, the accountability is logical as it ensures financial discipline, protects depositors, and maintains the overall economic stability of the nation."
2025,Finance 2nd Paper,Chapter 2: Central Bank,Dhaka Board,Board,"A large bank in Dhaka is known as the guardian of all banks. This bank operates its activities by establishing regional offices in different parts of the country. Each office has a specific room where checks, drafts, etc., of various banks are submitted daily for settlement.",What is Credit Control?,Explain: 'Central Bank is the banker of other banks.',Discuss what type of bank is mentioned in the stem.,Can other banks perform the functions mentioned in the stem? Give arguments in favor of your answer.,Credit control is a strategy used by the central bank to regulate the supply and cost of credit in the economy to maintain price stability.,"As the banker of other banks, the central bank holds the statutory reserves of commercial banks and provides financial assistance during crises.<br>It also acts as a clearing house for inter-bank settlements, ensuring the smooth functioning of the banking sector.","Data: The bank acts as a guardian, has regional offices, and settles inter-bank instruments like checks and drafts. <br> Analysis: A Central Bank is defined as the supreme monetary authority that supervises the banking structure and manages the national currency. <br> Conclusion: Based on the characteristics of being a 'guardian' and facilitating settlement, the bank is clearly identified as the Central Bank (Bangladesh Bank).","Data: The stem describes the 'Clearing House' function where inter-bank debts are settled. <br> Analysis: Under the Central Bank Order 1972, the clearing house is a specialized function reserved for the central bank to maintain neutrality and liquidity. <br> Evaluation: Although commercial banks facilitate customer transactions, they lack the legal authority and the 'Lender of Last Resort' status required to settle the net balances of the entire banking system. <br> Decision: No, other banks cannot perform this function because only the Central Bank possesses the statutory power and neutral position to act as the ultimate settlement house for all financial institutions."
2025,Finance 2nd Paper,Chapter 2: Central Bank,Rajshahi Board,Board,"ABC Bank settles inter-bank transactions between commercial banks. Previously, these transactions were settled in a specific room of the bank, but currently, they can be resolved electronically in the shortest time. This saves time and money and has brought dynamism to inter-banking transactions.",What is Basel-II?,How does the Open Market Operation (OMO) play a role in credit control? Explain.,What is the activity performed by the bank mentioned in the stem called? Explain.,Can any bank other than ABC Bank perform the task mentioned in the stem? Give arguments in favor of your answer.,Basel-II is an international business standard that requires financial institutions to maintain enough cash reserves to cover risks associated with investing and lending.,"Open Market Operation involves the buying and selling of government securities by the central bank to regulate the money supply.<br>When the central bank sells securities, it absorbs excess liquidity from the market, thereby reducing the credit-granting capacity of commercial banks.","Data: ABC Bank settles inter-bank transactions through a specific room or electronic system. <br> Analysis: The process of settling mutual claims and debts among banks through a centralized system is known as a 'Clearing House'. <br> Conclusion: The activity performed by ABC Bank is the 'Clearing House' function, which streamlines the settlement of checks and drafts.","Data: ABC Bank is acting as the central coordinator for inter-bank debt settlements. <br> Analysis: The Clearing House is a statutory responsibility of the Central Bank, though it may delegate this to a branch of a state-owned bank in areas where it has no office. <br> Evaluation: While a state-owned bank (like Sonali Bank in Bangladesh) might perform this role as an agent, it does so only under the authority of the Central Bank; a private commercial bank cannot do this independently. <br> Decision: Therefore, no bank can perform this function in their own right; it is an exclusive regulatory power. ABC Bank is acting in the capacity of a Central Bank or its authorized agent, a role that regular commercial banks cannot assume."
2025,Finance 2nd Paper,Chapter 2: Central Bank,Rajshahi Board,Board,"Bank-A works for the welfare of the people. It plays a role in printing money as needed, maintaining its proper value, and controlling the money market. On the other hand, Bank-B conducts all banking activities for the purpose of earning profit and follows all instructions of Bank-A.",What is a Merchant Bank?,What is meant by a Scheduled Bank?,Explain what type of bank 'Bank-A' is as described in the stem.,Analyze the logical basis of the statement: 'Bank-B must conduct banking activities by following the rules and regulations of Bank-A with extreme caution.',"A merchant bank is a financial institution that provides underwriting, loan syndication, and financial advisory services to corporations and high-net-worth individuals.",A scheduled bank is a bank that is included in the list of banks maintained by the Central Bank under the Bank Company Act 1991.<br>These banks must maintain a specific amount of paid-up capital and reserves and are entitled to clearing house and refinancing facilities from the Central Bank.,"Data: Bank-A prints money, maintains its value, and controls the money market for public welfare. <br> Analysis: According to the Central Bank Order 1972, the institution empowered to issue currency and regulate the monetary system is the Central Bank. <br> Conclusion: Since Bank-A performs the sovereign functions of currency issuance and market regulation, it is classified as a Central Bank.","Data: Bank-B is a profit-oriented institution (Commercial Bank) that operates under the guidelines of Bank-A (Central Bank). <br> Analysis: The Central Bank acts as the 'Guardian of the Money Market' and has the legal power to cancel a bank's license for non-compliance under the Bank Company Act 1991. <br> Evaluation: Caution is required because failure to follow SLR, CRR, or credit control directives can lead to liquidity crises or legal penalties for Bank-B. <br> Decision: Therefore, the statement is logical because strict adherence ensures the safety of depositors' funds and prevents the bank from financial insolvency or regulatory shutdown."
2025,Finance 2nd Paper,Chapter 2: Central Bank,Rajshahi Board,Board,"Bank-A is under contract with the Central Bank, pledging to follow all rules. Bank-B follows almost all rules but is not formally committed. In an adverse economic environment, when both faced disaster, Bank-A received maximum assistance from the Central Bank, but Bank-B did not.",What is the Bank Rate Policy?,Why is the Central Bank called the 'Lender of Last Resort'?,What type of bank is Bank-A in the stem? Explain.,"Evaluate the statement: 'To prevent current and future disasters, it is essential for Bank-B to be listed with the Central Bank.'",Bank Rate Policy is a quantitative credit control method where the Central Bank changes the interest rate at which it rediscounts bills or provides loans to commercial banks.,"The Central Bank is called the 'Lender of Last Resort' because when commercial banks fail to arrange funds from any other source during a financial crisis, the Central Bank provides them with necessary credit. <br> This ensures the stability of the banking system and prevents the bank from collapsing.","Data: Bank-A is formally contracted and pledged to the Central Bank's regulations. <br> Analysis: Banks that are enlisted in the official schedule of the Central Bank and enjoy specific rights and obligations are called Scheduled Banks. <br> Conclusion: Since Bank-A is formally committed and receives full support, it is a Scheduled Commercial Bank.","Data: Bank-B is a non-scheduled bank that lacked the Central Bank's full protection during an economic crisis. <br> Analysis: Enlistment (Scheduling) provides a bank with the legal right to clearing house facilities and emergency liquidity support under the Central Bank Order 1972. <br> Evaluation: Without being listed, Bank-B remains vulnerable as the Central Bank is not legally obligated to save it during a run or systemic disaster. <br> Decision: The statement is highly accurate; listing is essential for Bank-B to gain the 'Lender of Last Resort' safety net and maintain public trust, which is the backbone of banking survival."
2025,Finance 2nd Paper,Chapter 2: Central Bank,Jessore Board,Board,"Bank 'X' is a bank with a legal entity. It does not accept deposits from or provide loans to the general public. However, it provides loans to and accepts deposits from the government as per need. To improve people's living standards and implement the government's monetary policy, it increases or decreases the money supply.",What is a Branch Bank?,What is meant by Credit Control? Explain.,What type of bank is 'Bank X' discussed in the stem? Discuss.,Which function of 'Bank X' is given more importance in implementing the government's monetary policy? Discuss.,Branch banking is a system where a bank conducts its business through a network of branches directed by a single head office.,Credit control refers to the methods used by the Central Bank to regulate the volume and direction of credit provided by commercial banks. <br> It aims to maintain price stability and control inflation or deflation within the economy.,"Data: Bank 'X' acts as the government's banker and regulates the money supply without dealing with the general public. <br> Analysis: An institution that serves as the fiscal agent of the state and manages the nation's monetary policy is defined as a Central Bank. <br> Conclusion: Therefore, Bank 'X' is the Central Bank of the country.","Data: Bank 'X' regulates the money supply to implement monetary policy and ensure economic stability. <br> Analysis: The Central Bank utilizes 'Credit Control' functions (Qualitative and Quantitative) to manage the flow of money in the economy. <br> Evaluation: While it performs various functions, controlling the liquidity of commercial banks is the most critical tool for managing inflation and growth. <br> Decision: Bank 'X' gives the highest importance to its 'Credit Control' function, as this directly regulates the purchasing power of the people and aligns the national economy with the government's financial goals."
2025,Finance 2nd Paper,Chapter 2: Central Bank,Comilla Board,Board,"Due to excessive credit disbursement by listed banks, inflation has occurred in the country. Consequently, the Central Bank increased the reserve ratio by $1\%$. Some financially solvent banks are unwilling to accept this, but they are forced to comply for fear of losing the Central Bank's clearing house facilities.",What is CRR?,How does BEFTN work? Explain.,Which method of credit control has been followed in the stem? Discuss.,Why do listed banks fear being deprived of the clearing house facility by the Central Bank? Prove with logic.,CRR (Cash Reserve Ratio) is the specific portion of a commercial bank's total deposits that must be kept in cash with the Central Bank.,"BEFTN (Bangladesh Electronic Funds Transfer Network) works by electronically processing credit and debit transactions through a central clearing system.<br>It allows for the transfer of funds from one bank account to another without physical checks, ensuring faster and more secure inter-bank settlements.","Data: The Central Bank increased the reserve ratio by $1\%$ to curb inflation. <br> Analysis: Quantitative credit control methods like 'Variable Reserve Ratio' involve changing the CRR or SLR to regulate the lending capacity of banks. <br> Conclusion: In the stem, the Central Bank followed the 'Variable Reserve Ratio' method to reduce the money supply in the economy.","Data: Listed banks comply with regulations primarily to avoid losing access to the 'Clearing House'. <br> Analysis: Under the Central Bank Order 1972, the clearing house is a vital facility that allows banks to settle inter-bank debts efficiently and at a low cost. <br> Evaluation: Without this facility, a bank would have to settle every check and draft individually with other banks, leading to massive operational delays, high costs, and a loss of public reputation. <br> Decision: Therefore, the fear is justified as the clearing house is the backbone of modern inter-bank liquidity; losing it would make daily operations nearly impossible and lead to a crisis of confidence among customers."
2025,Finance 2nd Paper,Chapter 2: Central Bank,Comilla Board,Board,"Mr. Azad Khan transacts with a bank listed under a large bank. The bank follows the rules, orders, and supervision of the large bank. It keeps $5\%$ of its collected deposits in cash and $15\%$ in Treasury bills with that bank. It also takes loans from the large bank as needed. During crises, the large bank extends a helping hand to Mr. Azad Khan's bank.",Which bank is called the guardian of the money market?,How does the Bank Rate Policy work in credit control? Explain.,Which bank is hinted at as the 'large bank' in the stem? Discuss.,Mr. Azad Khan's bank is managed under the authority of the large bank for its own interest'—Analyze.,The Central Bank is called the guardian of the money market as it regulates the currency and credit system of the country.,"The Bank Rate Policy works by changing the interest rate at which the Central Bank lends to commercial banks.<br>An increase in the bank rate makes loans expensive for commercial banks, leading them to raise their own lending rates, which ultimately discourages borrowing and reduces the money supply.","Data: The large bank supervises other banks, mandates reserves ($5\%$ cash, $15\%$ bills), and provides loans during crises. <br> Analysis: The institution that holds statutory reserves (CRR and SLR) and acts as the 'Banker of all Banks' is the Central Bank. <br> Conclusion: The 'large bank' mentioned in the stem is the Central Bank (Bangladesh Bank).","Data: Mr. Azad's bank follows the Central Bank's authority and receives financial support during crises. <br> Analysis: Commercial banks operate under the Central Bank's authority to gain access to essential benefits like the clearing house, rediscounting facilities, and emergency liquidity. <br> Evaluation: While the supervision may seem restrictive, it provides the bank with a 'Lender of Last Resort' safety net, ensuring it can survive a sudden financial run or economic downturn. <br> Decision: Thus, the management under the Central Bank is a strategic necessity for the commercial bank's own stability, survival, and credibility in the financial market."
2025,Finance 2nd Paper,Chapter 2: Central Bank,Chittagong Board,Board,"Udayan Bank PLC' is facing a financial crisis due to not maintaining proper liquidity. It failed to get assistance from various financial institutions. Finally, following another bank's advice, it applied to the regulatory bank and received the necessary loan. The regulatory institution has also taken a project to provide 200 crore BDT in low-interest loans to remove salinity from land in the southern region, ensuring balanced development of the country.",What is the Credit Rationing Policy?,Why is the Central Bank called the guardian of the money market? Explain.,From which institution did 'Udayan Bank PLC' receive the loan facility? Describe.,Which principle is reflected in the bank's activities for the sake of balanced development? Discuss with logic.,Credit Rationing is a qualitative credit control method where the Central Bank fixes a limit or quota for credit for specific sectors or individual banks.,"The Central Bank is the guardian of the money market because it controls the volume of credit and maintains the value of the national currency.<br>It supervises all financial institutions, manages foreign exchange reserves, and ensures the overall stability of the monetary system.","Data: Udayan Bank PLC failed to get help elsewhere and finally received a loan from the 'regulatory bank' during a crisis. <br> Analysis: The institution that provides emergency liquidity to banks when all other sources fail is known as the 'Lender of Last Resort'. <br> Conclusion: Therefore, Udayan Bank PLC received the loan from the Central Bank (Bangladesh Bank).","Data: The Central Bank provided 200 crore BDT at low interest for a specific regional project (salinity removal). <br> Analysis: This reflects the 'Principle of Socio-economic Development' or 'Productive Investment Policy' where the bank directs credit to neglected or vital sectors. <br> Evaluation: By targeting the southern region's specific agricultural problem, the bank ensures that economic growth is not concentrated in urban areas but spread across the country. <br> Decision: The activity reflects the 'Principle of Public Welfare and Balanced Growth,' proving that the Central Bank is not just a regulator but also a catalyst for national development and environmental sustainability."
2025,Finance 2nd Paper,Chapter 2: Central Bank,Sylhet Board,Board,"Midland Bank is one of the leading commercial banks in Bangladesh. Last month, as their liquidity was good, they discounted a large number of bills of exchange and bills receivable from other companies at a $5\%$ rate. However, this month they faced a liquidity crisis. As a solution, they decided to rediscount those previously discounted bills with the Central Bank. Considering the country's economic condition, the Central Bank proposed to rediscount the bills at the same $5\%$ rate. Considering their profit and loss, Midland Bank refrained from rediscounting the bills.",What is the Bank Rate?,Which bank is called the government's bank and why?,Which method of credit control by the Central Bank is included in the activity of the stem? Discuss.,The activity of the Central Bank mentioned in the stem will increase the flow of credit in the country.—Give arguments in favor of your answer.,The Bank Rate is the official interest rate at which the Central Bank rediscounts first-class bills of exchange or provides loans to commercial banks.,"The Central Bank is called the government's bank because it manages the government's accounts, handles its financial transactions, and acts as its fiscal agent and advisor.<br>Under the Central Bank Order 1972, it maintains the government's cash balances and manages the public debt without charging any commission for these primary services.","Data: The Central Bank offered to rediscount bills at $5\%$, which is the same as the commercial bank's initial discounting rate. <br> Analysis: The 'Bank Rate Policy' is a quantitative method where the Central Bank influences the money supply by changing the cost of borrowing for commercial banks. <br> Conclusion: The activity belongs to the 'Bank Rate Policy' of credit control.","Data: The Central Bank kept the rediscount rate low ($5\%$) to match the market rate during a liquidity crisis. <br> Analysis: A lower bank rate reduces the cost of funds for commercial banks, encouraging them to borrow more from the Central Bank and extend more credit to the public. <br> Evaluation: Although Midland Bank hesitated due to profit margins, the Central Bank's move to keep the rate low (instead of increasing it) is a clear expansionary monetary policy. <br> Decision: Therefore, the argument is logical because by offering a lower rediscount rate, the Central Bank incentivizes banks to maintain liquidity, which ultimately increases the overall money supply and credit flow in the economy."
