Year,Subject,Chapter,Level,Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
2025,Finance 1st Paper,Chapter 1,Dhaka Board,Board,What is the relationship between risk and return?,Downward,Proportional,Positive,Negative,c,"In finance, risk and return have a direct or positive relationship; higher risk requires higher potential return."
2025,Finance 1st Paper,Chapter 1,Dhaka Board,Board,What is the core subject matter of finance?,Labor,Planning,Fund,Production,c,Finance primarily deals with the systematic acquisition and management of funds.
2025,Finance 1st Paper,Chapter 1,Dhaka Board,Board,What is it called when investment is made in multiple profitable projects?,Time Value of Money,Portfolio Principle,Liquidity Principle,Suitability Principle,b,The Portfolio Principle involves diversifying investments to minimize risk.
2025,Finance 1st Paper,Chapter 1,Dhaka Board,Board,Which of the following is a source of internal financing?,Industrial Bank,Commercial Bank,Central Bank,Income Tax,d,Tax-related provisions or retained earnings are treated as internal compared to external loans.
2025,Finance 1st Paper,Chapter 1,Dhaka Board,Board,"Stem: 'K' Bank provides scholarships for poor and meritorious students. Because of this, its customers are assured and satisfied with the bank.



Q: The initiative taken by 'K' Bank is related to which of the following in business?",Social Responsibility,Ethics,Values,Wealth Maximization,a,This is an example of Corporate Social Responsibility (CSR).
2025,Finance 1st Paper,Chapter 1,Dhaka Board,Board,"Stem: (Same as above)



Q: Whose responsibility is it to undertake such a scholarship program?",Chairman,Shareholder,Financial Manager,Employees,c,The Financial Manager allocates funds for strategic planning including CSR.
2025,Finance 1st Paper,Chapter 1,Dhaka Board,Board,"Sources of public finance include: i. Treasury Bill, ii. Income Tax, iii. Import Duty.",i & ii,i & iii,ii & iii,"i, ii & iii",d,Governments use taxes and instruments like Treasury Bills to manage revenue and deficits.
2025,Finance 1st Paper,Chapter 1,Chittagong Board,Board,The relationship between risk and profit is—,Proportional,Neutral,Positive,Negative,c,Higher risk levels generally require higher profit expectations.
2025,Finance 1st Paper,Chapter 1,Chittagong Board,Board,In which type of finance is the amount of expenditure determined first?,Public Finance,Family Finance,Business Finance,Non-business Finance,a,Public finance typically determines expenditure needs before seeking revenue sources.
2025,Finance 1st Paper,Chapter 1,Chittagong Board,Board,"If investment in current assets is insufficient: i. Production decreases, ii. Bankruptcy risk increases, iii. Profit increases.",i & ii,i & iii,ii & iii,"i, ii & iii",a,Insufficient working capital leads to production halts and insolvency risk.
