Year,Subject,Chapter,Level,Category,Stem,Question_A,Question_B,Question_C,Question_D,Ans_A,Ans_B,Ans_C,Ans_D
2025,Finance 1st Paper,3,Dhaka,Board,"Mr. 'Neel' has BDT 1,20,000 available for investment. If he purchases a savings certificate with this money, he will receive a monthly profit of BDT 8,000 for the next 5 years. At the end of the maturity period, he will get back the entire BDT 1,20,000. On the other hand, if he deposits the money in a fixed deposit account at Janata Bank, he will receive BDT 1,70,000 after 5 years. His opportunity cost of capital is 11%.",What is a time line?,How does inflation affect investment decisions?,Determine the Effective Interest Rate (EIR) of the savings certificate.,In which option will it be more profitable for Mr. 'Neel' to deposit his money? Give your opinion.,A time line is a visual graphical representation used in finance to illustrate the timing and magnitude of cash inflows and outflows over a specific period.,"Inflation reduces the purchasing power of money over time, which directly diminishes the real value of future cash inflows generated by an investment.


When making an investment decision, a financial manager must adjust the nominal rate of return to account for expected inflation; if the inflation rate exceeds the investment's nominal return, the real rate of return becomes negative, making the project financially unviable.","The Effective Interest Rate (EIR) of the savings certificate is 113.57%.


To calculate the EIR, we first determine the nominal annual interest rate ($i$). The monthly profit is BDT 8,000 on an investment of BDT 1,20,000. Annual profit = $\text{BDT } 8,000 \times 12 = \text{BDT } 96,000$. Thus, the nominal annual interest rate ($i$) = $\frac{96,000}{1,20,000} = 0.80$ or 80%. Since compounding/payout occurs monthly, the number of compounding periods per year ($m$) is 12.


Using the Effective Interest Rate formula:

$EIR = \left(1 + \frac{i}{m}\right)^m - 1$

$EIR = \left(1 + \frac{0.80}{12}\right)^{12} - 1$

$EIR = (1 + 0.066667)^{12} - 1$

$EIR = (1.066667)^{12} - 1 \approx 2.13568 - 1 = 1.13568$ or 113.57%.","Introduction: Depositing money in the savings certificate option is significantly more profitable for Mr. 'Neel' compared to Janata Bank's fixed deposit.


Financial Evaluation of Savings Certificate: To compare the two options, we must calculate the Net Present Value (NPV) of the savings certificate cash flows using his 11% opportunity cost. Here, he receives an ordinary monthly annuity ($A$) of BDT 8,000 for 5 years ($n=5$, $m=12$, total periods $N = 60$), and gets back the principal ($FV$) of BDT 1,20,000 at year 5.

$PV \text{ of Annuity} = A \times \left[\frac{1 - (1 + \frac{r}{m})^{-m \times n}}{\frac{r}{m}}\right] = 8,000 \times \left[\frac{1 - (1 + \frac{0.11}{12})^{-60}}{\frac{0.11}{12}}\right] = 8,000 \times 45.8049 = \text{BDT } 3,66,439.20$.

$PV \text{ of Principal} = \frac{FV}{(1 + \frac{r}{m})^{m \times n}} = \frac{1,20,000}{(1 + \frac{0.11}{12})^{60}} = \frac{1,20,000}{1.7289} = \text{BDT } 69,408.29$.

Total Present Value ($PV$) of Savings Certificate = $\text{BDT } 3,66,439.20 + \text{BDT } 69,408.29 = \text{BDT } 4,35,847.49$.

$\text{NPV} = \text{Total } PV - \text{Initial Investment} = 4,35,847.49 - 1,20,000 = \text{BDT } 3,15,847.49$.


Financial Evaluation of Janata Bank: For the Janata Bank option, he receives a lump sum $FV$ of BDT 1,70,000 after 5 years.

Present Value ($PV$) of Janata Bank = $\frac{FV}{(1 + r)^n} = \frac{1,70,000}{(1 + 0.11)^5} = \frac{1,70,000}{1.68506} = \text{BDT } 1,00,886.62$.

$\text{NPV} = 1,00,886.62 - 1,20,000 = -\text{BDT } 19,113.38$.


Conclusion: The savings certificate has a massive positive present value ($\text{BDT } 4,35,847.49$) and an extremely high real yield due to the generous monthly payout, whereas the Janata Bank offer fails to even cover his opportunity cost, yielding a negative NPV. Therefore, investing in the savings certificate is his best and most profitable decision."
2025,Finance 1st Paper,3,Dhaka,Board,"Mr. Matin wants to accumulate BDT 15,00,000 after 10 years to construct a house. City Bank has offered him three alternative proposals. According to the 1st proposal, he will deposit BDT 1,10,000 at the beginning of each month at an interest rate of 10%. Under the 2nd proposal, he will deposit BDT 1,15,000 at the end of each month at an interest rate of 9%. According to the 3rd proposal, if he deposits a lump sum of BDT 10,00,000 today, he will receive BDT 15,00,000 after 10 years.",What is a mixed cash flow?,"""To make correct investment decisions, considering the time value of money is compulsory""—Explain.",Determine the interest rate according to the 3rd proposal.,Will Mr. Matin receive more money from the 2nd proposal? Analyze.,A mixed cash flow refers to a series of cash inflows or outflows over several periods where the cash amounts are unequal and irregular from year to year.,"Considering the time value of money is mandatory because a Taka received today does not carry the same economic value as a Taka to be received in the future due to alternative opportunity costs, inflation, and risk.


Ignoring this principle causes financial managers to treat future cash inflows and current cash outflows equally, leading to skewed capital budgeting calculations and incorrect, loss-making long-term corporate asset choices.","The annual interest rate according to the 3rd proposal is 4.14%.


Given details for the 3rd proposal: Present Value ($PV$) = BDT 10,00,000; Future Value ($FV$) = BDT 15,00,000; Number of years ($n$) = 10.


Using the Future Value formula:

$FV = PV \times (1 + r)^n$

$15,00,000 = 10,00,000 \times (1 + r)^{10}$

$(1 + r)^{10} = \frac{15,00,000}{10,00,000} = 1.5$

$1 + r = (1.5)^{\frac{1}{10}}$

$1 + r \approx 1.04138$

$r = 1.04138 - 1 = 0.04138$ or 4.14%.","Introduction: No, Mr. Matin will not receive more money from the 2nd proposal; in fact, the total future accumulation under the 2nd proposal is significantly less than what he needs and less than the 1st proposal.


Future Value of 1st Proposal: The 1st proposal is an annuity due ($A = 1,10,000$, $r = 10\% = 0.10$, $m = 12$, $n = 10$).

$FVA_{\text{due}} = A \times \left[\frac{(1 + \frac{r}{m})^{m \times n} - 1}{\frac{r}{m}}\right] \times (1 + \frac{r}{m})$

$FVA_{\text{due}} = 1,10,000 \times \left[\frac{(1 + \frac{0.10}{12})^{120} - 1}{\frac{0.10}{12}}\right] \times (1 + \frac{0.10}{12})$

$FVA_{\text{due}} = 1,10,000 \times \left[\frac{2.70704 - 1}{0.008333}\right] \times 1.008333 = 1,10,000 \times 204.8449 \times 1.008333 = \text{BDT } 2,27,20,891.46$.


Future Value of 2nd Proposal: The 2nd proposal is an ordinary annuity ($A = 1,15,000$, $r = 9\% = 0.09$, $m = 12$, $n = 10$).

$FVA_{\text{ordinary}} = A \times \left[\frac{(1 + \frac{r}{m})^{m \times n} - 1}{\frac{r}{m}}\right]$

$FVA_{\text{ordinary}} = 1,15,000 \times \left[\frac{(1 + \frac{0.09}{12})^{120} - 1}{\frac{0.09}{12}}\right]$

$FVA_{\text{ordinary}} = 1,15,000 \times \left[\frac{2.45135 - 1}{0.0075}\right] = 1,15,000 \times 193.5143 = \text{BDT } 2,22,54,144.50$.


Conclusion: Comparing the mathematical results, the Future Value of the 1st proposal is BDT 2,27,20,891.46, whereas the Future Value of the 2nd proposal is BDT 2,22,54,144.50. Hence, Mr. Matin will get BDT 4,66,746.96 less from the 2nd proposal than the 1st one. (Note: Both monthly proposals vastly overshoot his initial modest house target of 15 lakhs, but comparing them reveals the 1st is superior)."
2025,Finance 1st Paper,3,Jessore,Board,"Mr. Raj wants to purchase a machine at a cost of BDT 2,00,000. For this purpose, he applied for a loan at BRAC Bank, and BRAC Bank imposed a condition to pay the installments at the beginning of each year. If the bank interest rate is 10%, Mr. Raj is wondering whether he will be able to completely repay the loan within 5 years.",What is simple interest?,Why is the time value of money preferred? Explain.,"If Mr. Raj takes the loan in the stem, how much money must be paid in each installment? Determine.","Through which process can Mr. Raj mathematically analyze and know the annual interest amount, principal repayment, and closing loan balance at the end of each year?","Simple interest is the interest computed solely on the original principal amount invested or borrowed, where interest earned is not reinvested to earn additional interest.","The time value of money is preferred due to consumer preference for present consumption over future consumption, the constant presence of inflation that erodes money's value, and investment opportunity costs.


A current sum of money allows immediate utility or can be securely reinvested to grow into a larger sum, whereas future money carries operational default risks and financial uncertainty.","The annual installment amount to be paid at the beginning of each year is BDT 48,011.08.


Given data: Present Value of Loan ($PV$) = BDT 2,00,000; Interest rate ($r$) = 10% = 0.10; Total years ($n$) = 5. Since installments are paid at the beginning of each year, it is an Annuity Due problem.


Using the Present Value of an Annuity Due formula:

$PV_{\text{due}} = A \times \left[\frac{1 - (1 + r)^{-n}}{r}\right] \times (1 + r)$

$2,00,000 = A \times \left[\frac{1 - (1 + 0.10)^{-5}}{0.10}\right] \times (1 + 0.10)$

$2,00,000 = A \times \left[\frac{1 - 0.62092}{0.10}\right] \times 1.10$

$2,00,000 = A \times 3.790786 \times 1.10$

$2,00,000 = A \times 4.169865$

$A = \frac{2,00,000}{4.169865} = \text{BDT } 48,011.08$.","Introduction: Mr. Raj can systematically find out these figures by constructing a formal ""Loan Amortization Schedule"" table.


Defining Loan Amortization: Loan amortization is the financial process of breaking down a lump sum loan into regular, periodic installment payments over time, where each payment covers both the accrued interest expense and a portion of the loan principal.


Mathematical Execution of Amortization (Annuity Due): In an annuity due scenario, the first installment of BDT 48,011.08 is paid immediately at Year 0 (Beginning of Year 1), reducing the outstanding principal instantly to $\text{BDT } 1,51,988.92$ before any interest accrues. Interest for the first year is calculated only on this reduced principal ($\text{BDT } 1,51,988.92 \times 10\% = \text{BDT } 15,198.89$), which is added at the end of Year 1. For subsequent years, the opening balance is listed, the installment is deducted at the start, interest is added to the remaining balance at year-end, and the closing balances are tracked.


Conclusion: By compiling these columns—Opening Balance, Installment, Principal Reduction, Interest Accrued, and Closing Balance—Mr. Raj will observe that the closing balance precisely reaches zero at the end of Year 5. This quantitative structure gives him absolute clarity regarding his debt lifecycle."
2025,Finance 1st Paper,3,Rajshahi,Board,"Mr. Azad wants to construct a house at a cost of BDT 50 lakhs by taking a bank loan. He will repay this loan in equal installments over the next 10 years. Tista Bank wants to provide the loan at a 10% compound interest rate. On the other hand, Meghna Bank accepts a cash payment of BDT 20 lakhs upfront and wants to complete the house construction by accepting 10 equal annual installments of BDT 4,47,088 over the next 10 years for the remaining amount.",What is 'Rule 72'?,When are the present values calculated under compounding and simple interest rates equal?,What will be the installment amount for Tista Bank in the stem?,From which bank should Mr. Azad accept the loan? Give your opinion with supportive arguments.,"Rule 72 is a quick, simplified financial formula used to estimate the number of years or the interest rate required to double an investment capital by dividing 72 by the annual interest rate or years.","The present values calculated under compound interest and simple interest rates are exactly equal when the total time period ($n$) is zero, or when the time period is exactly 1 year with annual compounding.


In these specific time horizons, no interest-on-interest accumulation takes place, meaning the compounding effect has not yet begun to diverge from the primary linear interest growth path.","The annual installment amount for Tista Bank will be BDT 8,13,727.02.


Given data for Tista Bank: Total loan amount ($PV$) = BDT 50,00,000; Interest rate ($r$) = 10% = 0.10; Time period ($n$) = 10 years. Assuming standard year-end ordinary installments.


Using the Present Value of an Ordinary Annuity formula:

$PV = A \times \left[\frac{1 - (1 + r)^{-n}}{r}\right]$

$50,00,000 = A \times \left[\frac{1 - (1 + 0.10)^{-10}}{0.10}\right]$

$50,00,000 = A \times \left[\frac{1 - 0.385543}{0.10}\right]$

$50,00,000 = A \times 6.144567$

$A = \frac{50,00,000}{6.144567} = \text{BDT } 8,13,727.02$.","Introduction: Mr. Azad should accept the loan proposal offered by Tista Bank because it is more cost-effective on a present value basis than Meghna Bank's offer.


Financial Cost Analysis of Tista Bank: As calculated in part (c), Tista Bank provides the full BDT 50,00,000 construction capital today at a straightforward nominal cost of 10%, requiring 10 annual payments of BDT 8,13,727.02.


Financial Cost Analysis of Meghna Bank: Meghna Bank requires BDT 20,00,000 in cash today, and a series of 10 installments of BDT 4,47,088. To find its real cost, we discount these installments using Tista's market benchmark rate of 10%.

$PV \text{ of Meghna's Installments} = 4,47,088 \times \left[\frac{1 - (1 + 0.10)^{-10}}{0.10}\right] = 4,47,088 \times 6.144567 = \text{BDT } 27,47,162.24$.

Total Economic Cost of Meghna Bank = Upfront Cash + $PV$ of Installments = $20,00,000 + 27,47,162.24 = \text{BDT } 47,47,162.24$. Since this total present value cost ($\text{BDT } 47,47,162.24$) is less than the BDT 50,00,000 actual construction value, it means Meghna Bank's implied interest rate is actually lower than 10% (around 6.5%). Let's re-verify from the loan perspective: for the remaining BDT 30,00,000 loan, paying BDT 4,47,088 for 10 years yields an implicit rate of interest significantly lower than Tista Bank.


Conclusion: Let's look at the cash outflow: If he goes with Tista, he pays zero cash today and gets BDT 50,00,000 value. If he goes with Meghna, he must provide BDT 20,00,000 in cash today out of pocket, and pays BDT 4,47,088 annually. If Mr. Azad has ready liquidity of BDT 20 lakhs, Meghna Bank is much cheaper because its implied financing rate is far lower than 10%. However, if he borrows the entire 50 lakhs, Tista provides full financing. On an absolute borrowing cost comparison for the financed portion, Meghna Bank's option charges an interest rate well below 10%, saving him capital. Thus, Meghna Bank is financially superior if liquidity permits."
2025,Finance 1st Paper,3,Jessore,Board,"Mr. Amin received BDT 2,00,000 as retirement gratuity benefits. Jamuna Bank Ltd. offered him a total of BDT 3,70,000 if he deposits this amount with them for 5 years. On the other hand, Rupali Bank Ltd. offered him BDT 5,00,000 if he deposits the money with them for 8 years.",What is the present value of money?,What is meant by 'Rule of 72'? Explain.,"Based on the stem, determine the interest rate offered by Jamuna Bank Ltd.","On the basis of interest rates, in which bank should Mr. Amin deposit his money to be more profitable? Give your opinion.","The present value of money is the current economic worth of a specific future sum of cash or stream of cash flows, discounted at a given rate of return.","The Rule of 72 is a simplified financial shorthand rule used to approximate the time or interest rate required for a lump sum investment to double in value.


By dividing the number 72 by the annual interest rate, an investor can find the total doubling years; conversely, dividing 72 by the target number of years reveals the required annual growth rate.","The annual interest rate offered by Jamuna Bank Ltd. is 13.09%.


Given data for Jamuna Bank: Present Value ($PV$) = BDT 2,00,000; Future Value ($FV$) = BDT 3,70,000; Time period ($n$) = 5 years.


Using the Future Value formula:

$FV = PV \times (1 + r)^n$

$3,70,000 = 2,00,000 \times (1 + r)^5$

$(1 + r)^5 = \frac{3,70,000}{2,00,000} = 1.85$

$1 + r = (1.85)^{\frac{1}{5}}$

$1 + r \approx 1.1309$

$r = 1.1309 - 1 = 0.1309$ or 13.09%.","Introduction: Mr. Amin should deposit his money in Rupali Bank Ltd. because it offers a higher compound annual interest rate compared to Jamuna Bank Ltd.


Interest Rate of Jamuna Bank: As calculated in part (c), the compound annual interest rate provided by Jamuna Bank Ltd. over a 5-year holding period is 13.09%.


Interest Rate of Rupali Bank: To find the interest rate offered by Rupali Bank Ltd., we use its given metrics: $PV = 2,00,000$, $FV = 5,00,000$, and $n = 8$ years.

$FV = PV \times (1 + r)^n$

$5,00,000 = 2,00,000 \times (1 + r)^8$

$(1 + r)^8 = \frac{5,00,000}{2,00,000} = 2.5$

$1 + r = (2.5)^{\frac{1}{8}}$

$1 + r \approx 1.12135 \implies r = 12.14\%$. Wait, let's recalculate accurately: $2.5^{\frac{1}{8}} = 1.12135$, so $r = 12.14\%$. Therefore, Jamuna Bank's rate (13.09%) is actually higher than Rupali Bank's rate (12.14%).


Conclusion: Correcting the analysis, Jamuna Bank offers a compound growth rate of 13.09% per annum, while Rupali Bank offers a lower rate of 12.14% per annum. Since maximizing the annual rate of interest optimizes the growth efficiency of capital, Mr. Amin will be more profitable if he chooses Jamuna Bank Ltd."
2025,Finance 1st Paper,3,Rajshahi,Board,"Mr. Noyen Mondal wants to buy a flat for BDT 40,00,000 after 10 years. For this purpose, he will deposit equal amounts of money into a bank account every year. Kushiyara Bank offers a 10% annual compound interest rate. On the other hand, Mahananda Bank offers a 9% quarterly compound interest rate.",What is internal financing?,Is profit maximization better than wealth maximization for a business enterprise? Explain.,How much installment money must Mr. Noyen Mondal deposit annually in Kushiyara Bank to purchase the flat?,In which bank will Mr. Noyen Mondal be more benefited if he deposits his money? Explain mathematically.,Internal financing is the process where a company uses its own retained earnings and operational cash flows to fund new projects instead of sourcing external capital.,"No, profit maximization is not better than wealth maximization because it is a short-term goal that ignores the time value of money, operational cash flows, and risk.


Wealth maximization is the superior corporate objective because it focuses on maximizing the net present value of the firm, which automatically protects long-term sustainability and increases the market price of equity shares.","Mr. Noyen Mondal must deposit an annual installment of BDT 2,50,981.62 in Kushiyara Bank.


Given data for Kushiyara Bank: Target Future Value ($FV$) = BDT 40,00,000; Interest rate ($r$) = 10% = 0.10; Time ($n$) = 10 years. Assuming standard year-end ordinary annuity deposits.


Using the Future Value of an Ordinary Annuity formula:

$FV = A \times \left[\frac{(1 + r)^n - 1}{r}\right]$

$40,00,000 = A \times \left[\frac{(1 + 0.10)^{10} - 1}{0.10}\right]$

$40,00,000 = A \times \left[\frac{2.59374 - 1}{0.10}\right]$

$40,00,000 = A \times 15.93742$

$A = \frac{40,00,000}{15.93742} = \text{BDT } 2,50,981.62$.","Introduction: Mr. Noyen Mondal will be more benefited if he deposits his money in Kushiyara Bank because it requires a lower annual contribution to reach his target compared to Mahananda Bank.


Installment Cost for Kushiyara Bank: As determined in part (c), under Kushiyara Bank's 10% annual compounding offer, he needs to save an annual installment of BDT 2,50,981.62.


Installment Cost for Mahananda Bank: Mahananda Bank offers a 9% nominal interest rate compounded quarterly ($r = 0.09, m = 4$). To make a proper comparison for annual deposits, we find its Effective Annual Rate (EAR).

$EAR = \left(1 + \frac{0.09}{4}\right)^4 - 1 = (1 + 0.0225)^4 - 1 = 1.09308 - 1 = 9.31\%$.

Now, using this effective annual rate to find the required annual deposit ($A$) for a target $FV$ of 40 lakhs over 10 years:

$40,00,000 = A \times \left[\frac{(1 + 0.0931)^{10} - 1}{0.0931}\right] = A \times \left[\frac{2.4352 - 1}{0.0931}\right] = A \times 15.4157$.

$A = \frac{40,00,000}{15.4157} = \text{BDT } 2,59,475.73$.


Conclusion: Kushiyara Bank's effective rate (10%) is higher than Mahananda Bank's effective rate (9.31%). Because a higher interest rate builds savings faster, he only needs to deposit BDT 2,50,981.62 annually in Kushiyara compared to BDT 2,59,475.73 in Mahananda. Saving less out-of-pocket to reach the same 40 lakhs target makes Kushiyara Bank the best choice."
2025,Finance 1st Paper,3,Rajshahi,Board,"Miss Sayma wants to invest her accumulated savings of BDT 30,00,000. Titas Bank promised to pay Miss Sayma BDT 52,87,025 after 5 years. On the other hand, Kanchan Bank promised to pay her BDT 64,30,766 after 8 years.",What is an annual annuity?,Why are zero-coupon bonds sold at a discount? Explain.,Determine the interest rate offered by Titas Bank in the stem.,Which bank would you advise Miss Sayma to deposit her money in? Analyze mathematically.,"An annual annuity is a continuous series of equal, periodic cash inflows or outflows that occur at fixed annual intervals for a specified number of years.","Zero-coupon bonds are sold at a discount because they do not make periodic interest or coupon payments during their operational life.


Investors earn their entire return from the capital gain, which is the difference between the discounted purchase price today and the full par value paid back at maturity.","The interest rate offered by Titas Bank is 12%.


Given data for Titas Bank: Present Value ($PV$) = BDT 30,00,000; Future Value ($FV$) = BDT 52,87,025; Time period ($n$) = 5 years.


Using the Future Value formula:

$FV = PV \times (1 + r)^n$

$52,87,025 = 30,00,000 \times (1 + r)^5$

$(1 + r)^5 = \frac{52,87,025}{30,00,000} = 1.76234$

$1 + r = (1.76234)^{\frac{1}{5}}$

$1 + r \approx 1.1200$

$r = 1.1200 - 1 = 0.12$ or 12%.","Introduction: I would advise Miss Sayma to deposit her money in Titas Bank because it offers a higher annual compound interest rate than Kanchan Bank.


Rate of Return of Titas Bank: As calculated in part (c), Titas Bank grows her capital at an annual compound interest rate of 12%.


Rate of Return of Kanchan Bank: To evaluate Kanchan Bank, we calculate its annual interest rate using its given criteria: $PV = 30,00,000$, $FV = 64,30,766$, and $n = 8$ years.

$FV = PV \times (1 + r)^n$

$64,30,766 = 30,00,000 \times (1 + r)^8$

$(1 + r)^8 = \frac{64,30,766}{30,00,000} = 2.14359$

$1 + r = (2.14359)^{\frac{1}{8}}$

$1 + r \approx 1.1000 \implies r = 10\%$.


Conclusion: Comparing the two options, Titas Bank offers a 12% annual compound interest rate, while Kanchan Bank offers a lower rate of 10%. Choosing Titas Bank ensures her capital grows more efficiently each year, making it the most profitable advisory choice."
2025,Finance 1st Paper,3,Comilla,Board,"Mr. Shohel Rana wants to deposit BDT 5,00,000 in a bank for a period of 10 years. Surma Bank offered to pay him an 8% compound interest rate. On the other hand, Meghna Bank committed to paying him an 8% quarterly compound interest rate.",What is an annuity?,When does the Effective Interest Rate (EIR) need to be calculated? Explain.,How much money will be received from Surma Bank after 10 years? Determine.,In which of the mentioned banks will Mr. Shohel Rana be more benefited if he deposits his money? Give mathematical proof.,"An annuity is a systematic series of equal, periodic cash inflows or outflows that occur at uniform intervals over a specified duration of time.","The Effective Interest Rate (EIR) must be calculated whenever interest compounding occurs more than once a year (multi-period compounding), such as monthly, quarterly, or semi-annually.


Calculating the EIR converts a nominal annual rate into a true annual percentage rate, allowing financial managers to accurately compare alternative financial products with different compounding cycles.","Mr. Shohel Rana will receive BDT 10,79,462.49 from Surma Bank after 10 years.


Given data for Surma Bank: Present Value ($PV$) = BDT 5,00,000; Annual interest rate ($r$) = 8% = 0.08; Time ($n$) = 10 years.


Using the standard compound interest Future Value formula:

$FV = PV \times (1 + r)^n$

$FV = 5,00,000 \times (1 + 0.08)^{10}$

$FV = 5,00,000 \times 2.158925$

$FV = \text{BDT } 10,79,462.49$.","Introduction: Mr. Shohel Rana will be more benefited by depositing his money in Meghna Bank because it yields a higher total future value due to more frequent compounding.


Future Value of Surma Bank: As calculated in part (c), Surma Bank's annual compounding strategy yields a total future value of BDT 10,79,462.49 at maturity.


Future Value of Meghna Bank: Meghna Bank offers an 8% nominal rate with quarterly compounding ($r = 0.08, m = 4, n = 10$).

$FV = PV \times \left(1 + \frac{r}{m}\right)^{m \times n}$

$FV = 5,00,000 \times \left(1 + \frac{0.08}{4}\right)^{4 \times 10}$

$FV = 5,00,000 \times (1 + 0.02)^{40}$

$FV = 5,00,000 \times 2.20804 = \text{BDT } 11,04,019.83$.


Conclusion: Meghna Bank's quarterly compounding creates a higher effective return, resulting in a total future balance of BDT 11,04,019.83. This leaves Mr. Shohel Rana with BDT 24,557.34 more cash compared to Surma Bank. Therefore, choosing Meghna Bank is mathematically proven to be the better choice."
2025,Finance 1st Paper,3,Comilla,Board,"Rehana and Sohana are corporate service holders. Rehana deposits BDT 12,00,000 (Wait, stem says 12,000 টাকা - let's write BDT 12,000) at the beginning of each year at 12% interest in Gamma Bank, and Sohana deposits BDT 12,00,000 (BDT 12,000) at the end of each year at 13% interest in Lama Bank. Both continue this for a maturity span of 10 years.",What is discounting?,Why is the time value of money preferred? Explain.,How much money will Rehana receive at the end of the maturity period? Determine.,Who will accumulate more money at the end of the maturity period according to the stem? Analyze.,Discounting is the quantitative process of converting a future sum of money or stream of future cash flows back into its equivalent present value using a specific discount rate.,"The time value of money is highly preferred because individuals inherently prioritize current consumption over future consumption, and inflation constantly lowers the real purchasing power of future cash.


Additionally, receiving funds today eliminates future default uncertainties and provides immediate opportunity costs to reinvest the capital to generate compounding interest gains.","Rehana will receive BDT 2,35,854.60 at the end of 10 years.


Given data for Rehana: Annual deposit ($A$) = BDT 12,000; Interest rate ($r$) = 12% = 0.12; Duration ($n$) = 10 years. Since she deposits at the beginning of each year, it is an Annuity Due.


Using the Future Value of an Annuity Due formula:

$FVA_{\text{due}} = A \times \left[\frac{(1 + r)^n - 1}{r}\right] \times (1 + r)$

$FVA_{\text{due}} = 12,00,000 \text{ (using 12,000 as per regular text, let's calculate with 12,000)} = 12,000 \times \left[\frac{(1 + 0.12)^{10} - 1}{0.12}\right] \times (1 + 0.12)$

$FVA_{\text{due}} = 12,000 \times \left[\frac{3.105848 - 1}{0.12}\right] \times 1.12$

$FVA_{\text{due}} = 12,000 \times 17.548735 \times 1.12 = \text{BDT } 2,35,854.60$.","Introduction: Rehana will accumulate more money at the end of the maturity period compared to Sohana.


Maturity Accumulation for Rehana: As calculated in part (c), Rehana's choice to save via an annuity due structure at 12% interest in Gamma Bank builds a total future fund of BDT 2,35,854.60.


Maturity Accumulation for Sohana: Sohana saves BDT 12,000 at the end of each year at 13% interest in Lama Bank, which represents an Ordinary Annuity ($A = 12,000, r = 0.13, n = 10$).

$FVA_{\text{ordinary}} = A \times \left[\frac{(1 + r)^n - 1}{r}\right]$

$FVA_{\text{ordinary}} = 12,000 \times \left[\frac{(1 + 0.13)^{10} - 1}{0.13}\right]$

$FVA_{\text{ordinary}} = 12,000 \times \left[\frac{3.394567 - 1}{0.13}\right] = 12,000 \times 18.419746 = \text{BDT } 2,21,036.95$.


Conclusion: Comparing the results, Rehana accumulates BDT 2,35,854.60 while Sohana accumulates BDT 2,21,036.95. Even though Sohana's nominal interest rate is 1% higher, Rehana's strategy of depositing at the start of each year allows her funds to earn an extra year of compounding interest, making her the more successful saver."
2025,Finance 1st Paper,3,Chittagong,Board,"Mr. Nabil set up a fixed deposit of BDT 5,00,000 in a bank at a 9% interest rate for a tenure of 10 years. Concurrently, he is highly interested in purchasing a residential flat, for which he has two alternative options available.

Option-1: Instant cash purchase at BDT 22,00,000.

Option-2: Avail a bank loan at a 12% interest rate with a monthly installment of BDT 30,000 for a tenure of 15 years.",What is the time value of money?,What do you understand by the Effective Interest Rate? Explain.,How much money will Mr. Nabil receive from his fixed deposit at the end of the maturity tenure? Determine.,Recommend the most appropriate option for Mr. Nabil's flat purchase in light of the stem.,"The time value of money is the financial concept stating that money available at the present time is worth more than the identical sum in the future due to its potential earning capacity, inflation, and risk.","The Effective Interest Rate (EIR) represents the true, actual annual rate of interest earned or paid on a financial asset or debt instrument when compounding happens multiple times a year.


It is always higher than the stated nominal interest rate because it accounts for the compounding of interest-on-interest during each fraction of the fiscal year, giving an accurate metric for cost comparison.","Mr. Nabil will receive BDT 11,83,681.85 at the end of the fixed deposit maturity period.


Given data: Stated Principal ($PV$) = BDT 5,00,000; Stated annual interest rate ($r$) = 9% = 0.09; Tenure ($n$) = 10 years.


Using the standard multi-period compound interest Future Value formula:

$FV = PV \times (1 + r)^n$

$FV = 5,00,000 \times (1 + 0.09)^{10}$

$FV = 5,00,000 \times 2.367363$

$FV = \text{BDT } 11,83,681.85$.","Introduction: Option-1 (Instant cash purchase at BDT 22,00,000) is the most appropriate and cost-effective alternative for Mr. Nabil's flat purchase.


Evaluating Option-1 Cost: Under Option-1, the explicit financial cost is simply the upfront market cash requirement of BDT 22,00,000 today.


Evaluating Option-2 Cost: Under Option-2, he takes a loan requiring regular monthly payments at a 12% interest rate ($A = 30,000, r = 0.12, m = 12, n = 15$). To compare this with Option-1, we calculate the present value ($PV$) of this ordinary monthly loan annuity.

$PV = A \times \left[\frac{1 - (1 + \frac{r}{m})^{-m \times n}}{\frac{r}{m}}\right]$

$PV = 30,00,000 \text{ (Wait, 30,000)} = 30,000 \times \left[\frac{1 - (1 + \frac{0.12}{12})^{-180}}{\frac{0.12}{12}}\right] = 30,000 \times \left[\frac{1 - (1.01)^{-180}}{0.01}\right]$

$PV = 30,000 \times \left[\frac{1 - 0.166413}{0.01}\right] = 30,000 \times 83.321664 = \text{BDT } 24,99,650$.


Conclusion: The present value cost of the loan payments under Option-2 amounts to BDT 24,99,650, which is BDT 2,99,650 more expensive than Option-1's cash price of BDT 22,00,000. Therefore, financing the flat through Option-2 carries an excessive interest burden, making Option-1 the financially superior decision."
