Year,Subject,Chapter,Level,Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
2025,Agriculture 2nd Paper,1,Combined,Board,Which one is a characteristic of Rajputi (Java Barb) fish?,Elongated body,Unforked caudal fin,Silvery colored body,No scales on the body,c,"Rajputi fish is characterized by its bright silvery-white color, compressed body shape, and rapid growth rate under pond cultivation conditions."
2025,Agriculture 2nd Paper,1,Combined,Board,What is the percentage of protein contained in fish?,5% - 15%,15% - 25%,25% - 35%,35% - 45%,b,"Fish flesh is an excellent source of high-quality animal protein, typically composed of 15% to 25% protein by weight, along with essential amino acids."
2025,Agriculture 2nd Paper,1,Combined,Board,"The characteristics of fish suitable for cultivation are—


i. Must grow very rapidly

ii. Will compete with other fish for food

iii. Must be disease-resistant


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",b,"Culturable fish species should grow quickly, be disease-resistant, and accept supplementary food without aggressive competition with other cultured species."
2025,Agriculture 2nd Paper,1,Combined,Board,"Read the following stem and answer the question:

While inspecting his Rui fish pond, Mr. Jobbar noticed that some fish had swollen scales, protruding eyes, and bellies distended like a pufferfish.


Q. Which disease has broken out in Mr. Jobbar's pond?",Gill rot disease,Epizootic Ulcerative Syndrome (EUS),Scale shedding disease,Dropsy disease,d,"Dropsy (উদরস্ফীতি রোগ) is caused by bacteria (Aeromonas). The primary clinical symptoms include fluid accumulation in the abdominal cavity making it swell like a pufferfish, bulging eyes, and raised scales."
2025,Agriculture 2nd Paper,1,Combined,Board,"Read the following stem and answer the question:

While inspecting his Rui fish pond, Mr. Jobbar noticed that some fish had swollen scales, protruding eyes, and bellies distended like a pufferfish.


Q. The treatment for the fish in Mr. Jobbar's pond is—


i. Removing the accumulated bodily fluids using a syringe

ii. Administering Terramycin injection

iii. Applying Diazinon


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",a,"For bacterial Dropsy disease, treating infected fish involves extracting accumulated fluid with a sterile needle/syringe and injecting or feeding antibiotics like Terramycin. Diazinon is an insecticide and is not used for internal bacterial infections."
2025,Agriculture 2nd Paper,1,Combined,Board,Which method is best for preserving fish for a short duration?,Chilling with ice,Salting,Sun-drying,Freezing,a,"Chilling with ice (বরফজাতকরণ) is the most efficient, cost-effective, and practical method to temporarily preserve the freshness of fish for a few days during transportation or marketing."
2025,Agriculture 2nd Paper,1,Combined,Board,Fish gasp for air at the surface (khabi khay) due to the deficiency of which element?,Oxygen,Potassium,Phosphorus,Carbon dioxide,a,"When dissolved oxygen (DO) levels in pond water drop too low (usually below 2-3 mg/L), fish swim to the surface and gulp air to breathe, which is locally termed as ""khabi khaoya""."
2023,Agriculture 2nd Paper,1,Dhaka,Board,"Zooplankton—


i. Is a natural food for fish

ii. Can prepare their own food

iii. Is the favorite food for fish fry (Renu pona)


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",b,"Zooplankton consists of tiny microscopic animals that serve as premium natural food for fish fry. Unlike phytoplankton, zooplankton cannot photosynthesize or prepare their own food; they are consumers."
2023,Agriculture 2nd Paper,1,Dhaka,Board,Which species is culturable in saline/brackish water?,Giant river prawn (Golda),Giant tiger prawn (Bagda),Rajputi,Nilotica,b,"Bagda shrimp (Penaeus monodon) is a marine/brackish water species naturally suited for high-salinity coastal areas, whereas Golda, Rajputi, and Nilotica thrive primarily in fresh water."
2023,Agriculture 2nd Paper,1,Dhaka,Board,Through which method can fish be preserved for a long period of time?,Canning,Salting,Freezing,Chilling with ice,c,"Freezing (হিমায়িতকরণ) keeps fish below -18 degrees Celsius, stopping microbial and enzymatic activity completely, which allows fish to be safely stored for many months."
2023,Agriculture 2nd Paper,1,Dhaka,Board,What is applied to a pond to neutralize soil and water acidity and remove pollution?,Rotenone,Copper sulfate (Tute),Lime (Chun),Sulfur,c,"Agricultural lime (Calcium carbonate/oxide) is widely used in aquaculture to neutralize soil and water acidity (low pH), disinfect the pond bottom, and clear water turbidity."
2023,Agriculture 2nd Paper,1,Dhaka,Board,"Based on the stem, answer the following question:

Nahid, an unemployed youth, cultivated a type of fish in a pond next to his house that grows rapidly and spawns 3–4 times a year.


Q. Which fish cultivation is referred to in the stem?",Rajputi,Sarputi,Nilotica,Boal,c,"Nilotica (Tilapia) is famous for its high reproductive capacity, spawning 3 to 4 times a year in tropical conditions, and is recognized for its exceptionally fast growth rate."
2023,Agriculture 2nd Paper,1,Dhaka,Board,"Based on the stem, answer the following question:

Nahid, an unemployed youth, cultivated a type of fish in a pond next to his house that grows rapidly and spawns 3–4 times a year.


Q. The characteristic of the fish cultivated by Nahid is—


i. The female fish incubates eggs inside its mouth

ii. It reaches sexual maturity within a few months

iii. It cannot be cultivated throughout the year


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",a,Nilotica exhibits mouthbrooding behavior where females keep eggs and fry safe inside their mouths. They mature quickly (within 3-4 months) and can be farmed year-round in Bangladesh.
2022,Agriculture 2nd Paper,1,Dhaka,Board,Why is Rotenone powder applied to a pond?,As fish feed,To control aquatic weeds,To grow plankton,To eradicate predatory fish,d,Rotenone is a plant-derived piscicide applied during pond preparation to safely kill predatory (rakhuse) and unwanted weed fish without leaving long-term toxic residues.
2022,Agriculture 2nd Paper,1,Dhaka,Board,"The characteristics of Golda Chingri (Giant River Prawn) are—


i. It generally appears light blue in color

ii. Its head is larger relative to its body size

iii. It possesses three pairs of flagella


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",d,"Golda prawns are freshwater species characterized by a translucent body with a light bluish tint, a distinctively large cephalothorax (head), and three pairs of antennular flagella."
2022,Agriculture 2nd Paper,1,Dhaka,Board,How can the acidity of soil and water in a pond be corrected?,Compost,Lime,Urea,Cow dung,b,"Lime is an alkaline material. When applied to ponds with acidic soil or water, it raises the pH level toward a neutral and safe range (6.5 - 8.5) ideal for aquaculture."
2022,Agriculture 2nd Paper,1,Dhaka,Board,Which is a sign to identify fish treated with formalin?,Scales fall off easily,Appears artificially fresh but stiff,Flies hover over the fish,Gills look dark blackish,b,"Formalin acts as a chemical preservative that hardens fish muscle tissues, keeping them looking deceptively fresh, rubbery, and stiff, while completely repelling flies due to its pungent chemical odor."
2022,Agriculture 2nd Paper,1,Dhaka,Board,"Modern methods of preserving fish include—


i. Salting

ii. Freezing

iii. Canning


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",c,"Freezing and canning are considered industrial, modern scientific methods of preservation. Salting (along with sun-drying) is classified as a traditional or conventional method."
2022,Agriculture 2nd Paper,1,Dhaka,Board,"Read the following stem and answer the question:

Mr. Rashed cultivated Rajputi fish in his pond this year. A week after stocking the fry, he observed bleeding, decomposition, and swelling in the gills of some fish. Seeking advice from the Upazila Fisheries Officer, the officer explained the causes, prevention, and remedies for this condition.


Q. Which disease are the fish suffering from?",Epizootic Ulcerative Syndrome (EUS),Dropsy disease,Helminthiasis (Worm disease),Gill rot disease,d,"The symptoms of bleeding, inflammation, and decay (pacon) located specifically on the gill filaments point directly to Gill Rot disease (ফুলকা পচা রোগ), usually caused by Branchiomyces fungi or bacteria."
2022,Agriculture 2nd Paper,1,Dhaka,Board,"Read the following stem and answer the question:

Mr. Rashed cultivated Rajputi fish in his pond this year. A week after stocking the fry, he observed bleeding, decomposition, and swelling in the gills of some fish. Seeking advice from the Upazila Fisheries Officer, the officer explained the causes, prevention, and remedies for this condition.


Q. To prevent and cure the disease of Mr. Rashed's fish, the duties are—


i. Increasing the use of organic fertilizers

ii. Using nets in the pond after drying them in the sun

iii. Applying lime and salt to the pond


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",c,"To curb gill rot, adding more organic manure is restricted as it fouls water quality. Disinfecting nets in sunlight prevents pathogen spread, and treating the pond with lime and salt kills fungal spores."
2019,Agriculture 2nd Paper,1,Dhaka,Board,From which country was Nilotica fish first introduced to Bangladesh?,China,India,Thailand,Cambodia,c,Nilotica (Oreochromis niloticus) was first introduced to Bangladesh in 1974 from Thailand by the Bangladesh Fisheries Research Institute (BFRI) to boost aquaculture.
2019,Agriculture 2nd Paper,1,Dhaka,Board,"The characteristics of Rajputi fish are—


i. Bright and silvery-white color

ii. Rapid growth rate

iii. Stripped/barred patterns on its back


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",a,"Rajputi fish are shiny silvery-white, grow very fast in shallow water bodies, and eat simple organic matter. They do not have vertical stripes or barred patterns on their back."
2019,Agriculture 2nd Paper,1,Dhaka,Board,Which fish holds its fry inside its mouth during times of danger?,Nilotica,Rajputi,Prawn/Shrimp,Mirror Carp,a,"Nilotica (Tilapia) shows strong parental care through mouthbrooding. When danger approaches, the parent fish opens its mouth to let the young fry swim inside for temporary safety."
2019,Agriculture 2nd Paper,1,Dhaka,Board,"Predatory (Rakhuse) fish include—


i. Chital

ii. Katla

iii. Shol


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",b,Chital and Shol are carnivorous predatory fish equipped with sharp teeth that prey heavily on stocked fish fry. Katla is a non-predatory surface-feeding major carp that eats plankton.
2019,Agriculture 2nd Paper,1,Dhaka,Board,"Look at the following stem and answer the question:

Sajib is a rice farmer. He wants to cultivate fish along with rice simultaneously. When he went to the fisheries officer for advice, the officer suggested shrimp/prawn cultivation.


Q. Which species of shrimp/prawn should Sajib select?",Horina,Chapa,Golda,Bagda,c,"For integrated rice-fish farming in fresh water, Golda Chingri (Giant River Prawn) is chosen because it adjusts perfectly to shallow freshwater paddy fields. Bagda requires marine saline water."
2018,Agriculture 2nd Paper,1,Combined,Board,What is the causative agent of Dropsy disease in fish?,Fungus,Bacteria,Virus,Parasite,b,"Dropsy is primarily a bacterial infection caused by Aeromonas species. It impairs the kidney and osmoregulation functions of the fish, leading to massive internal fluid accumulation."
2018,Agriculture 2nd Paper,1,Combined,Board,Which one is a traditional method of fish preservation?,Chilling with ice,Freezing,Salting,Canning,c,"Salting (and sun-drying) are ancient, low-cost traditional methods used for generations. Chilling, freezing, and canning rely on modern industrial mechanics and cooling infrastructure."
