Subject,Chapter,Level,Category,Question,Options,Answer,Explanation
Accounting 1st,Chapter 2,Cumilla Govt. College,College,"Mr. Asif starts business with Cash 1,00,000, Machinery 70,000, and Furniture 20,000. Sales to Bappi 8,000 (credit) and Rent paid 5,000. Cash balance?","a) 95,000 b) 1,00,000 c) 1,03,000 d) 1,05,000",a,"Cash = 1,00,000 (Start) - 5,000 (Rent)."
Accounting 1st,Chapter 2,Cumilla Commerce College,College,"Stationery purchased for 2,300 including 15% VAT. How much is debited to Stationery account?","a) 1,955 b) 2,000 c) 2,300 d) 2,645",b,"Net Amount = 2,300 / 1.15 = 2,000."
Accounting 1st,Chapter 2,St. Joseph Higher Secondary,College,Which is used to record transactions related to Sales Returns?,a) Debit Note b) Credit Note c) Debit Voucher d) Credit Voucher,b,Seller issues a Credit Note.
Accounting 1st,Chapter 2,Birshreshtha Munshi Rouf,College,Which of the following expresses a Debit Balance?,a) Gen. Reserve b) Prov. for Debtors c) Prov. for Creditors,c,Prov. for Discount on Creditors.
Accounting 1st,Chapter 2,Birshreshtha Munshi Rouf,College,"Mr. Rana withdrew 20,000 for business and 5,000 for personal use. The 20,000 withdrawn for business will be recorded in the Cash Book as: i. Credit side, bank column; ii. Credit side, cash column; iii. Debit side, cash column.","a) i and ii b) i and iii c) ii and iii d) i, ii and iii",b,"Contra Entry: Cash increases, Bank decreases."
Accounting 1st,Chapter 2,Birshreshtha Munshi Rouf,College,"Based on the previous data, what is the impact of personal cash drawings on the Balance Sheet? i. Equity decreases; ii. Cash balance decreases; iii. Net profit remains unchanged.","a) i and ii b) i and iii c) ii and iii d) i, ii and iii",d,Drawings reduce both assets (Cash) and equity (Capital). Drawings do not affect the calculation of Net Profit.
Accounting 1st,Chapter 2,Rajshahi Board 2025,Board,"Received 5,400 from Hasan Brothers after 10% discount. What is the discount amount?","a) 540 b) 600 c) 4,860 d) 5,400",b,"Total was 6,000. $6,000 x 10% = 600$."
Accounting 1st,Chapter 2,Rajshahi Board 2025,Board,"What does ""Credit"" signify in accounting?",a) Asset & Liability increase b) Asset decrease & Liability increase c) Asset & Liability decrease,b,Modern rule: Assets decrease = Credit
Accounting 1st,Chapter 2,Rajshahi Board 2025,Board,Which is the ultimate destination (final resting place) of a transaction?,a) Ledger b) Journal c) Cash Account d) Final Account,a,"The Ledger is the ""Permanent Book"" or final destination."
Accounting 1st,Chapter 2,Dinajpur Board 2025,Board,Which step of the Accounting Cycle is optional?,a) Journal b) Ledger c) Trial Balance d) Worksheet,d,A Worksheet is a tool for convenience and is not a mandatory step.
Accounting 1st,Chapter 2,Dinajpur Board 2025,Board,What is the main purpose of a Ledger?,a) Profit/Loss নির্ণয় b) Permanent storage c) Financial position d) Arithmetical accuracy,b,"Ledgers provide a permanent, classified record of all transactions."
Accounting 1st,Chapter 2,Dinajpur Board 2025,Board,"What can be known from the Sales Journal?

i. Total credit sales amount

ii. Total sales amount

iii. Total accounts receivable amount","a) i & ii

b) i & iii

c) ii & iii

d) i, ii & iii",b,"The Sales Journal only records credit sales of merchandise. Therefore, it shows the total credit sales (i) and the total increase in accounts receivable (iii). It does not show total sales because cash sales are recorded in the Cash Receipt Journal."
Accounting 1st,Chapter 2,Dinajpur Board 2025,Board,"Parul Traders buys goods for 1,00,000 at 10% discount. A week later, they pay half with a 10% cash discount. Discount amount?","a) 4,500 b) 9,000 c) 10,000 d) 20,000",a,"Net purchase: 90,000. Half: 45,000. Cash discount: 45,000 x 10% = 4,500."
Accounting 1st,Chapter 2,Dinajpur Board 2025,Board,"(Based on previous) After paying half, how much liability remains?","a) 50,000 b) 45,000 c) 41,000 d) 40,000",b,"Total debt was 90,000. 45,000 was settled. Remaining is 45,000."
Accounting 1st,Chapter 2,Dinajpur Board 2025,Board,Which account always shows a Debit Balance?,a) Capital b) Liability c) Income d) Asset,d,Assets and Expenses maintain a natural Debit balance.
Accounting 1st,Chapter 2,Barisal Board 2025,Board,"6% Debentures of 2,00,000 issued to Mr. Jahir. What is the Journal entry?","a) Cash Dr, Debenture Cr b) Jahir Dr, Loan Cr c) Cash Dr, Jahir Cr",a,Issuing debentures brings in cash and creates a long-term liability.
Accounting 1st,Chapter 2,Barisal Board 2025,Board,Which of the following shows a Debit Balance?,a) Debtors b) Creditors c) Sales d) Outstanding Salary,a,"Debtors is an Asset, therefore it shows a Debit balance."
Accounting 1st,Chapter 2,Jessore Board 2025,Board,What is the permanent storehouse of all transactions?,a) Journal b) Ledger c) Cashbook d) Trial Balance,b,"The Ledger is the ""King of Books"" where data is stored permanently."
Accounting 1st,Chapter 2,Jessore Board 2025,Board,"Mr. Abed sold goods for 40,000 at 10% trade discount. Later, 2/3rd of the money was received at a 2% cash discount. Discount amount?",a) 240 b) 480 c) 720 d) 800,b,"Net Sale: 36,000. 2/3rd is 24,000. Cash Discount: 24,000 x 2% = 480."
Accounting 1st,Chapter 2,Jessore Board 2025,Board,"Based on the previous data, how will the transaction on the 9th be recorded in the Cash Book? i. Debit side cash column; ii. Debit side bank column; iii. Debit side discount column.","a) i and ii b) i and iii c) ii and iii d) i, ii and iii",b,"Cash received is recorded in the debit cash column, and the allowed discount is recorded in the debit discount column."
Accounting 1st,Chapter 2,Sylhet Board 2025,Board,"If a deposited check is dishonored/rejected, where is it written in the Cash Book?",a) Credit side Bank column b) Debit side Bank column,a,"To reverse the previous entry, the Bank column must be credited."
Accounting 1st,Chapter 2,Sylhet Board 2025,Board,What kind of book is the Journal called?,a) Final book b) Rough book c) Primary book d) Main book,c,"Journals are the ""Primary"" or ""Original"" books of entry."
Accounting 1st,Chapter 2,Sylhet Board 2025,Board,"If a computer is purchased for the purpose of ""Resale,"" which account is debited?",a) Computer b) Office Equipment c) Purchase d) Machinery,c,"If bought for resale, it is treated as ""Goods,"" so the Purchase A/C is debited."
Accounting 1st,Chapter 2,Sylhet Board 2025,Board,"Which language does the word ""Ledger"" originate from?",a) English b) French c) Latin d) Spanish,a,The word Ledger is derived from the English word 'Legger' (to lie/remain).
Accounting 1st,Chapter 2,Sylhet Board 2025,Board,What does a Credit Balance usually indicate?,a) Income & Liability b) Asset & Expense c) Income & Expense,a,"In modern accounting, Income, Liability, and Equity have Credit balances."
Accounting 1st,Chapter 2,Chittagong Board 2025,Board,"Sonal Trading buys 12,000 goods at 10% discount. Paid on time with a 5% cash discount. Discount amount?","a) 540 b) 600 c) 1,200 d) 1,800",a,"Net: 10,800. Cash Discount: 10,800 x 5% = 540."
Accounting 1st,Chapter 2,Chittagong Board 2025,Board,What type of discount is offered at the time of final debt settlement?,a) Cash Discount b) Trade Discount c) Quantity Discount,a,Cash discounts are used specifically to encourage early or final settlement of debt.
Accounting 1st,Chapter 2,Chittagong Board 2025,Board,Another name for Trade Discount is: i. Purchase Discount; ii. Allowed Discount; iii. Sales Discount.,"a) i and ii b) i and iii c) ii and iii d) i, ii and iii",b,Trade discount is categorized as Purchase Discount for the buyer and Sales Discount for the seller.
Accounting 1st,Chapter 2,Chittagong Board 2025,Board,Which of these transactions is recorded in a Cash Book?,a) Withdrawal of goods b) Free sample distribution c) Depreciation d) Capital introduced,d,Only cash or bank movements (like bringing in Capital) enter the Cash Book.
Accounting 1st,Chapter 2,Chittagong Board 2025,Board,"The owner withdraws goods for personal use at ""Sales Price."" What is the Journal?","a) Drawings Dr, Purchase Cr b) Drawings Dr, Sales Cr",b,"When goods are taken at sales price, it is treated as a sale to the owner."
Accounting 1st,Chapter 2,Chittagong Board 2025,Board,Which step is used to verify the arithmetical accuracy of the Ledger?,a) Journal b) Ledger c) Trial Balance d) Financial Statement,c,The Trial Balance summarizes all balances to check if Debits equal Credits.
Accounting 1st,Chapter 2,Chittagong Board 2025,Board,"Which transaction requires a ""Contra (C)"" entry?",a) Personal bank withdrawal b) Business bank withdrawal c) Check received,b,Withdrawing from Bank for Office/Business use involves both Cash and Bank.
Accounting 1st,Chapter 2,Dhaka Board 2025,Board,"Bought goods for 40,000 at 25% trade discount. Terms: 4/10, n/30. Paid within 10 days?","a) 27,000 b) 28,800 c) 30,000 d) 36,000",b,"Net: 30,000. Cash discount: 30,000 x 4% = 1,200. Paid: 30,000 - 1,200 = 28,800."
Accounting 1st,Chapter 2,Dhaka Board 2025,Board,"(Based on previous) If payment is made after 20 days, how much is paid?","a) 27,000 b) 30,000 c) 36,000 d) 38,400",b,"The 4% discount is only valid for 10 days. After that, the full net price (30,000) is paid."
Accounting 1st,Chapter 2,Dhaka Board 2025,Board,"Furniture purchased for 69,000 including 15% VAT. Transport cost 1,000. Total Cost?","a) 60,000 b) 61,000 c) 69,000 d) 70,000",b,"Net Furniture: 60,000 (after removing VAT). Total Cost = 60,000 + 1,000 transport = 61,000."
Accounting 1st,Chapter 2,Dhaka Board 2025,Board,"Which is considered the ""Permanent or Final"" book of accounts?",a) Journal b) Ledger c) Trial Balance d) Financial Statement,b,The Ledger is the ultimate and permanent record of all transactions.
Accounting 1st,Chapter 2,Cumilla Board 2025,Board,Which of the following is an Internal Transaction?,a) Sales b) Purchase c) Depreciation d) Rent paid,c,Depreciation happens within the business without an outside party.
Accounting 1st,Chapter 2,Cumilla Board 2025,Board,What is the main objective of preparing a Trial Balance?,a) Profit নির্ণয় b) Financial position c) Mathematical accuracy,c,Trial Balance is prepared specifically to check if Dr and Cr totals match.
Accounting 1st,Chapter 2,Cumilla Board 2025,Board,"Bought goods for 5,000 and paid by check. Which account is credited?",a) Cash b) Bank c) Purchase d) Sales,b,"Since payment is made by check, the Bank account (Asset) decreases (Credit)."
Accounting 1st,Chapter 2,Mymensingh Board 2025,Board,"Which book is known as the ""Subsidiary Book of original entry""?",a) Ledger b) Journal c) Trial Balance d) Balance Sheet,b,Journal is the first place a transaction is recorded.
Accounting 1st,Chapter 2,Mymensingh Board 2025,Board,"Goods destroyed by fire 2,000. Which account is credited?",a) Cash b) Fire Loss c) Purchase d) Sales,c,"When goods are lost/destroyed, the Purchase account is reduced (Credit)."
Accounting 1st,Chapter 2,Mymensingh Board 2025,Board,A 2-column Cash Book records which of the following?,a) Cash & Discount b) Cash & Bank c) Bank & Discount,b,A double-column cash book has columns for both Cash and Bank.
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,Which discount is NOT recorded in the books of accounts?,a) Cash Discount b) Trade Discount c) Allowed Discount,b,Trade discount is deducted from the list price and never enters the ledger.
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,Owner brings a personal car into the business. Which account is credited?,a) Car b) Vehicle c) Capital d) Drawings,c,Anything the owner brings into the business increases Capital (Credit).
Accounting 1st,Chapter 2,Rajshahi Board 2024,Board,What is the source document for Sales Returns?,a) Debit Note b) Credit Note c) Invoice d) Voucher,b,A Credit Note is sent to the customer to acknowledge the return.
Accounting 1st,Chapter 2,Dinajpur Board 2024,Board,Which of these is a Nominal Account?,a) Rent b) Cash c) Bank d) Furniture,a,Nominal accounts represent Expenses (like Rent) or Incomes.
Accounting 1st,Chapter 2,Dinajpur Board 2024,Board,What is the formula for Owner's Equity?,a) A + L b) A - L c) L - A d) A x L,b,Assets minus Liabilities equals Owner's Equity (Capital).
Accounting 1st,Chapter 2,Dhaka Board 2024,Board,"Salary paid 5,000 but 1,000 is still due. Total Salary Expense?","a) 4,000 b) 5,000 c) 6,000 d) 1,000",c,"Under accrual basis: 5,000 (Paid) + 1,000 (Due) = 6,000."
Accounting 1st,Chapter 2,Dhaka Board 2024,Board,Prepaid Insurance is what type of account?,a) Expense b) Liability c) Asset d) Income,c,"Prepaid expenses provide future benefits, so they are Assets."
Accounting 1st,Chapter 2,Chittagong Board 2024,Board,"Cash sales 10,000. Impact on Equation?","a) A up, E up b) A up, L up c) A down, E up",a,Cash (Asset) increases and Revenue increases Equity.
Accounting 1st,Chapter 2,Chittagong Board 2024,Board,Which voucher is used for Credit Purchases?,a) Debit Voucher b) Credit Voucher c) Journal Voucher,b,Credit Vouchers are used for recording all types of income and credit purchases.
Accounting 1st,Chapter 2,Barisal Board 2024,Board,A Contra Entry is required for:,a) Cash sales b) Bank deposit c) Credit sale d) Salary paid,b,Depositing cash into the bank involves two internal accounts (Cash/Bank).
Accounting 1st,Chapter 2,Barisal Board 2024,Board,"What is the ""Folio"" column in the Ledger used for?",a) Date b) Page number of Journal c) Amount d) Account Name,b,L.F. (Ledger Folio) in the Journal refers to the Ledger page number.
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,Bad Debt is what kind of loss?,a) Capital Loss b) Revenue Loss c) Personal Loss,b,Bad debt is a regular business expense/loss (Revenue Loss).
Accounting 1st,Chapter 2,Sylhet Board 2024,Board,"Purchased goods for 8,000. Paid 3,000 cash, rest on credit. Creditor amount?","a) 3,000 b) 5,000 c) 8,000 d) 11,000",b,"Total 8,000 - 3,000 (Paid) = 5,000 (Due to Creditor)."
Accounting 1st,Chapter 2,All Boards 2023,Board,Who is the father of Modern Accounting?,a) Luca Pacioli b) Adam Smith c) Newton,a,Luca Pacioli published the first work on double-entry bookkeeping in 1494.
Accounting 1st,Chapter 2,Jessore Board 2024,Board,"A business uses the Imprest System for Petty Cash. The start balance was 1,000. 800 was spent. How much will be reimbursed?","a) 200 b) 800 c) 1,000 d) 1,800",b,"Under the Imprest system, the exact amount spent (800) is reimbursed to reach the original limit."
Accounting 1st,Chapter 2,Jessore Board 2024,Board,Which special journal is used to record credit sales?,a) Cash Receipt b) Sales Return c) Cash Payment d) Sales Journal,d,Credit sales of goods are recorded in the Sales Journal.
Accounting 1st,Chapter 2,Jessore Board 2024,Board,Which event is recorded in the General Journal?,a) Credit sale b) Cash purchase c) Credit purchase d) Depreciation,d,Depreciation is an adjusting entry recorded in the General Journal.
Accounting 1st,Chapter 2,Mymensingh Board 2024,Board,"Opening Debtors 30k, Closing 50k. Credit sales 1.2L. How much cash was received from debtors?","a) 1,00,000 b) 1,20,000 c) 1,40,000 d) 1,50,000",a,"Cash = Opening + Credit Sales - Closing = 30,000 + 1,20,000 - 50,000 = 1,00,000."
Accounting 1st,Chapter 2,Mymensingh Board 2024,Board,"Probal Traders sold goods worth 50,000 at 5% discount on credit. On July 10, half the amount was received at 2% discount. What is the impact of the discount? i. Profit dec 475; ii. Assets dec 475; iii. Equity dec 475.","a) i and ii b) i and iii c) ii and iii d) i, ii and iii",d,"Net Receivable = 47,500. Half is 23,750. Cash Discount = 23,750 * 2% = 475. Since it's an expense, it reduces profit, assets (receivable), and equity."
Accounting 1st,Chapter 2,Mymensingh Board 2024,Board,(Based on previous) How much cash was received for that half payment?,"a) 23,275 b) 23,750 c) 24,225 d) 24,500",a,"Net half: 23,750. Cash: 23,750 - (2%) 475 = 23,275."
Accounting 1st,Chapter 2,Barisal Board 2024,Board,"What is called the ""Ultimate Destination"" of a transaction?",a) Journal b) Ledger c) Financial Statement d) Trial Balance,b,The Ledger is the final destination for all accounting entries.
Accounting 1st,Chapter 2,Barisal Board 2024,Board,Machine installation wages should be debited to which account?,a) Machine A/C b) Installation A/C c) Repair A/C d) Wages A/C,a,Cost to make an asset usable (installation) is debited to the Asset (Machine) account.
Accounting 1st,Chapter 2,Barisal Board 2024,Board,"Received 54,000 after a 10% discount. What is the discount amount?","a) 4,900 b) 4,910 c) 5,400 d) 6,000",d,"Discount = (54,000 / 90) * 10 = 6,000."
Accounting 1st,Chapter 2,Barisal Board 2024,Board,"What does ""Debit"" signify?",a) A & L down b) A up & L down c) A & L up d) A down & L up,b,Debit means an increase in Assets or a decrease in Liabilities/Equity.
Accounting 1st,Chapter 2,Barisal Board 2024,Board,"Mr. Hasan spent 5,000 for advertising his furniture business. What is the journal entry? i. Furniture A/C-Dr; ii. Advertising Exp A/C-Dr; iii. Cash A/C-Cr.","a) i and ii b) i and iii c) ii and iii d) i, ii and iii",c,Promoting a business is a revenue expense. The entry is Advertising Expense Dr. and Cash Cr. Furniture is not debited as it wasn't purchased for use.
Accounting 1st,Chapter 2,Barisal Board 2024,Board,"What does ""1/10, net/45"" mean? i. 1% discount if paid within 10 days; ii. 1% discount if paid within 45 days; iii. Must pay within 45 days.","a) i and ii b) i and iii c) ii and iii d) i, ii and iii",b,1/10 means a 1% discount is available within 10 days. Net/45 indicates the total credit period is 45 days.
Accounting 1st,Chapter 2,Dinajpur Board 2024,Board,"Which is known as the ""Storehouse"" of transactions?",a) Journal b) Ledger c) Trial Balance d) Cash Book,b,The Ledger stores all classified transaction data.
Accounting 1st,Chapter 2,Dinajpur Board 2024,Board,Which cash book never has a Credit Balance?,a) Single Column b) Double Column c) Triple Column,a,A single column (cash only) book can never pay more than it has.
