Year,Subject,Chapter,Level,Category,Stem,Question_A,Question_B,Question_C,Question_D,Ans_A,Ans_B,Ans_C,Ans_D
2025,Business Org & Mgmt 1st,1,Dhaka Board,Board,"Riya General Store' is filled with various types of goods. Customers from the area purchase products from here. To meet public demand, the owner travels to Bogra to collect goods. The large traders there import goods from abroad and sell them to small traders.",What is trade or exchange of goods?,Why is financing an important function of business? Explain.,What type of business is 'Riya General Store' mentioned in the stem? Explain.,"""The business of the traders in Bogra is important for national development."" Analyze the logic of this statement.",Trade is the legal process of buying and selling goods and services for profit.,"Financing is a critical function because it acts as the lifeblood of a business:

Capital Supply: It involves collecting and managing the funds required to establish the business and purchase fixed assets.

Operational Flow: It ensures that daily expenses, like buying inventory or paying wages, are met without interruption.","Riya General Store is a Retail Business.

Direct Sales: A retail business involves selling goods directly to the final consumers.

Small Quantities: In the stimulus, local customers purchase various goods from the store for personal use.

Distribution Link: The owner acts as the final link in the distribution channel, connecting wholesalers (the Bogra traders) to the general public.","The statement is logically sound as the Bogra traders operate as Wholesalers and Importers, playing a multi-faceted role in the economy:

Market Stability: By importing goods and selling them to small traders, they ensure a steady supply of products, which prevents price hikes.

Revenue Generation: Their import activities contribute significantly to the national treasury through customs duties and taxes.

Employment: Such large-scale trading operations create jobs in logistics, warehousing, and management.

Bridge to Global Markets: They provide local consumers with access to international quality goods, improving the standard of living and boosting economic activity."
2025,Business Org & Mgmt 1st,1,Dhaka Board,Board,"Mr. Masud is frustrated with the rural education system. He consulted with friends in Dhaka to improve education quality. They decided to form a company to build a good school where education is affordable. The bylaws state that shareholders will be repaid within ten years, and they will not receive dividends.",What is the main objective of business?,Why is direct service non-storable? Explain.,Which type of business is indicated in the stem? Explain.,Analyze the principles on which the business in the stem is established.,The primary objective of a traditional business is to earn and maximize profit through the legal production and distribution of goods and services.,"Direct services are considered non-storable due to their intangible nature:

Simultaneous Production: Services are produced and consumed at the exact same time (e.g., a teacher giving a lecture).

Perishability: If a service is not used at the scheduled time, its utility vanishes and cannot be ""stocked"" in a warehouse for later sale.","The stimulus indicates a Social Business.

Problem Solving: Unlike traditional firms, this business is created to solve a social problem (rural education quality).

No Loss, No Dividend: The stem mentions that investors get their capital back but do not receive dividends or profit.

Reinvestment: Any surplus is used to expand or improve the school rather than enriching the owners.","The school project is built on the following core principles of Social Business:

Social Welfare: The primary goal is the qualitative improvement of rural education and community service.

Financial Sustainability: The business is designed to stand on its own feet within 10 years, meaning it is not a charity but a self-sustaining enterprise.

Investor Recovery Only: Shareholders only retrieve their original investment amount, reflecting a principle of selfless social development.

Ethical Management: By providing affordable education, the business follows the principle of social responsibility and equality."
2025,Business Org & Mgmt 1st,1,Dhaka Board,Board,"Since Bhutan has no seaport, they are lagging in foreign trade. Mr. Robin, a businessman, imports necessary goods from abroad, processes them, and sends them to Bhutan for sale. This benefits both Mr. Robin and the country economically.",What is foreign trade?,Why is business important for economic development?,What type of trade is Mr. Robin conducting? Explain based on the stem.,"""The trade mentioned in the stem is essential for economic development."" Analyze.","Foreign trade is the exchange of goods and services between the residents, firms, or governments of two or more different countries.","Business drives economic growth through several mechanisms:

Resource Utilization: It ensures that a nation's natural resources and manpower are used efficiently to create value.

Income Generation: It increases the Gross Domestic Product (GDP) and creates employment, which raises the overall standard of living.","Mr. Robin is conducting Entrepôt Trade (also known as Re-export trade).

Import for Export: He is importing goods from one foreign country with the specific intention of selling them to another (Bhutan).

Value Addition: The stimulus mentions he ""processes"" the goods before sending them, which is a key characteristic of entrepôt trade.

Geographical Advantage: He leverages his country's port facilities to assist a landlocked nation, which defines this trade category.","This statement is highly accurate as entrepôt trade offers unique economic benefits:

Foreign Exchange: By exporting to Bhutan, Mr. Robin earns foreign currency, which strengthens the national reserve.

Infrastructure Utilization: This trade makes heavy use of seaports, transport, and warehouses, generating revenue for the state.

Industrial Growth: The ""processing"" mentioned in the stem creates local industrial activity and specialized jobs in packaging or refining.

Diplomatic Relations: By facilitating trade for a landlocked neighbor, the country strengthens its international commercial position and regional cooperation."
2025,Business Org & Mgmt 1st,1,Rajshahi Board,Board,"Most people in Barhampur are dependent on agriculture. Due to rising costs, they switched to tea production. They are profiting by selling tea leaves to 'Alibaba Tea Company,' improving their standard of living. The company processes these leaves into tea, meets domestic demand, and exports the rest.",(a) Knowledge: What is utility?,(b) Understanding: What is meant by primary industry?,(c) Application: Which type of industry does the tea company fall under? Explain.,(d) Analysis: Are both parties described in the stimulus contributing to the national economy? Give your opinion.,Utility refers to the power or capacity of a product or service to satisfy human wants.,"1. Primary industry involves the extraction or collection of resources directly from nature.

2. Examples include agriculture, fishing, and mining, where products are obtained without significant mechanical transformation.","1. Alibaba Tea Company falls under the Manufacturing (Processing) Industry.

2. This industry converts raw materials (tea leaves) into finished or semi-finished goods (processed tea) through mechanical or manual processes.

3. Since the company takes raw leaves from farmers and ""processes"" them for consumption, it fits this category.","1. Yes, both parties contribute significantly. The farmers boost the Agricultural Sector by producing raw materials and improving rural living standards.

2. The Alibaba Tea Company contributes to the Industrial Sector by adding value to raw products through processing.

3. The company earns Foreign Exchange by exporting tea, which strengthens the national reserve.

4. Together, they create a supply chain that generates employment and increases the total National Income (GNP)."
2025,Business Org & Mgmt 1st,1,Rajshahi Board,Board,"Mr. Akram is a successful potato merchant. He established a cold storage facility. He collects potatoes from producers during the season, stores them, and supplies them across the country, including Dhaka. He also exports potatoes after meeting domestic demand.",(a) Knowledge: What is foreign trade?,(b) Understanding: Why is foreign trade necessary?,(c) Application: What type of trade is Mr. Akram involved in? Explain.,(d) Analysis: Analyze Mr. Akram's activities in the context of earning foreign currency.,Foreign trade is the legal exchange of goods and services between two or more different countries.,"1. It allows a country to acquire goods it cannot produce efficiently or at all due to geographical or technical limitations.

2. It helps in disposing of surplus production and strengthening international economic relations.","1. Mr. Akram is involved in Wholesale Trade and Export Trade.

2. He acts as a wholesaler by purchasing in bulk from producers and supplying across the country.

3. His involvement in selling surplus potatoes to other countries classifies him as an exporter within the branch of foreign trade.","1. Mr. Akram’s export activities are a direct source of Foreign Exchange Earnings for the country.

2. By meeting domestic demand first, he ensures price stability before capturing international market value.

3. His cold storage facility adds ""Time Utility,"" allowing for exports even during off-seasons, maximizing currency inflow.

4. Such activities improve the country's balance of trade and boost the overall economic growth."
2025,Business Org & Mgmt 1st,1,Jessore Board,Board,"Mr. Alam and his friends started 'Grameen Bangla.' They invested capital but have no profit motive; social welfare is their primary goal. Their bylaws stated shareholders would be repaid within 5 years but receive no profit. The capital has been repaid, and the organization is currently providing good service.",(a) Knowledge: What is industry?,(b) Understanding: How does trade help in removing the risk-related barriers of business?,(c) Application: What type of business is 'Grameen Bangla'? Explain.,(d) Analysis: Evaluate the activities of 'Grameen Bangla' based on its objectives.,Industry is the branch of business concerned with the production or processing of goods by utilizing natural resources.,"1. Business carries inherent risks like fire, theft, or accidents. Insurance, a subsidiary of trade, helps mitigate these risks.

2. By paying a small premium, a businessman can transfer the financial burden of potential losses to an insurance company.","1. 'Grameen Bangla' is a Social Business.

2. It is a non-loss, non-dividend company established to solve a specific social or environmental problem.

3. The stimulus highlights that the primary goal is welfare and that investors receive no dividends, only their principal capital back.","1. Based on its objectives, 'Grameen Bangla' is a Self-Sustaining Social Enterprise that prioritizes human welfare over capital accumulation.

2. The objective of ""No Profit"" ensures that all surplus is reinvested to improve the quality of service for the community.

3. The successful repayment of capital within 5 years proves the business is sustainable and efficient without being exploitative.

4. Its activities represent an ethical shift in business where success is measured by social impact rather than financial dividends."
2025,Business Org & Mgmt 1st,1,Chittagong Board,Board,"Mr. Mahi started tilapia fish farming in his pond with 30,000 TK after training. The fish grew quickly. To allow customers to choose as they like, he preserves them to keep them fresh longer. Demand is rising, but he cannot meet it due to various limitations.",(a) Knowledge: What is the minimum number of directors in a Public Ltd. Company?,(b) Understanding: What is meant by product exchange?,(c) Application: Under which industry do Mr. Mahi's activities fall? Explain.,(d) Analysis: Present your opinion on what Mr. Mahi should do to meet the increased demand of customers.,The minimum number of directors required for a Public Limited Company is 3 (three).,"1. Product exchange (Trade) is the process of buying and selling goods and services for money with a profit motive.

2. It serves as the core of business by transferring ownership from the seller to the buyer.","1. Mr. Mahi's activities fall under the Genetic Industry.

2. Genetic industry involves the reproduction and multiplication of plants and animals for sale and profit.

3. Since Mr. Mahi is breeding and growing tilapia fish for commercial purposes, it fits this category perfectly.","1. To meet rising demand, Mr. Mahi needs to transition from a small-scale operation to a Large-scale Enterprise.

2. He should seek Financial Assistance or loans from specialized banks (like Krishi Bank) to increase his working capital.

3. He should adopt Modern Technology and automated feeding systems to increase production efficiency within the same pond area.

4. Expanding his infrastructure by leasing more ponds and hiring skilled labor will help satisfy the market surplus."
2025,Business Org & Mgmt 1st,1,Chittagong Board,Board,Mr. Halim collects onions from various districts during the season and stores them in his cold storage. He supplies them year-round to traders across the country using his own transport. Representatives from different districts assist him in collection and supply.,(a) Knowledge: What is direct service?,(b) Understanding: What is meant by re-export (Entrepôt)?,(c) Application: What type of internal trade is Mr. Halim involved in? Explain.,"(d) Analysis: ""Along with product exchange, Mr. Halim is also related to business support activities""—Analyze the statement.","Direct service refers to providing intangible professional services (like doctors, lawyers, or engineers) directly to consumers for a fee.","1. Re-export involves importing goods from one country and then exporting them to another country without significant change.

2. It usually happens to facilitate trade for landlocked countries or to utilize superior port and processing facilities.","1. Mr. Halim is involved in Wholesale Trade.

2. Wholesaling involves buying goods in large quantities from producers and selling them in smaller lots to retailers or other traders.

3. Since Mr. Halim collects onions from districts (producers) and supplies them to other traders, he acts as a wholesaler.","1. The statement is accurate because Mr. Halim performs several Auxiliary Functions (Aids to Trade) beyond just buying and selling.

2. Warehousing: By using cold storage, he removes the ""time barrier"" and ensures year-round availability.

3. Transportation: By using his own vehicles, he removes the ""place barrier"" by moving goods from surplus areas to deficit areas.

4. Human Resources/Agency: His use of representatives across districts shows he is managing a distribution network that facilitates trade flow."
2025,Business Org & Mgmt 1st,1,Sylhet Board,Board,"Mr. Mukul established a rice mill in Dinajpur and sells rice to local dealers. Due to his experience, he is seeing profit, but not at the desired level. Installing an auto rice machine is the only alternative for higher profit, but it requires more capital, which he lacks.",(a) Knowledge: What is direct service?,(b) Understanding: Why is profit called the reward for risk-taking? Explain.,(c) Application: What type of industry has Mr. Mukul established? Explain.,(d) Analysis: Recommend what Mr. Mukul should do to solve his problem.,"Direct service refers to any intangible professional activity provided to consumers in exchange for a fee, such as teaching or medical care.","1. Every business involves the possibility of loss; taking this risk is essential for earning money.

2. Profit serves as the financial incentive that encourages entrepreneurs to invest capital and effort despite the uncertainty of the future.","1. Mr. Mukul has established a Manufacturing (Processing) Industry.

2. This industry involves converting raw materials (paddy) into finished products (rice) using machines and labor.

3. Since his mill processes agricultural output into a consumable form for sale, it is a manufacturing industry.","1. To solve the capital crisis, Mr. Mukul should consider Changing the Business Ownership structure, such as forming a partnership to bring in new investment.

2. He should apply for an Industrial Loan from a commercial or specialized bank that offers low-interest rates for SMEs.

3. He could look into Leasing the auto rice machine instead of buying it outright to reduce the immediate capital burden.

4. Reinvesting a portion of his current profits back into the business (plowing back profits) will help him build the necessary fund for modernization over time."
2025,Business Org & Mgmt 1st,1,Sylhet Board,Board,"Mr. Kamal buys potatoes from local farmers in Daudkandi and supplies them to Dhaka using his own vehicle, earning a good profit. He also buys potatoes at a low price during winter and stores them in a cold storage facility. In this way, he is achieving success in his business.",(a) Knowledge: What is risk?,(b) Understanding: Why is business important for solving unemployment?,(c) Application: Which branch of business does Mr. Kamal's work of supplying potatoes to Dhaka belong to? Explain.,(d) Analysis: Analyze the logic behind the type of utility created by the potato storage activity in the stimulus.,Risk is the possibility of financial loss or unfavorable outcomes arising from uncertainty in business operations.,"1. Business creates diverse job opportunities by expanding production, distribution, and service sectors.

2. It encourages self-employment, allowing individuals to become entrepreneurs and hire others, thereby reducing the national unemployment rate.","1. Mr. Kamal's work of supplying potatoes belongs to Trade (Transport), specifically internal wholesale trade.

2. Trade involves the distribution of goods from the production point to the consumption point.

3. By moving potatoes from Daudkandi to Dhaka, he is bridging the distance gap and facilitating the exchange of goods.","1. The potato storage activity creates Time Utility for the business.

2. Potatoes are produced in a specific season but consumed year-round; storage ensures they are available during off-seasons.

3. It stabilizes market prices by preventing a surplus during harvest and a crisis during other months.

4. This utility is logical because it preserves the value of the product and maximizes profit for the entrepreneur while serving consumer needs."
