Year,Subject,Chapter,Level,Category,Stem,Question_A,Question_B,Question_C,Question_D,Ans_A,Ans_B,Ans_C,Ans_D
2019,Business 1st Paper,9,Rajshahi,Board,"Tushar decided to do business after passing BBA. He set up a boutique factory by taking training under BSCIC and a loan of 20,000 taka. If he gets loan assistance from government banks, he can take the initiative to export the products produced from his factory abroad.",What is BGMEA?,How does EPB support export trade?,What kind of support services were given to Tushar in setting up the boutique factory? Explain.,Can only government assistance ensure the export of Tushar's products abroad? Give your opinion.,"BGMEA stands for Bangladesh Garment Manufacturers and Exporters Association, which is the national trade organization representing the readymade garment industry in Bangladesh.","EPB (Export Promotion Bureau) supports export trade by: 1. Conducting market research and providing information on international demand. 2. Organizing trade fairs to showcase domestic products globally. 3. Providing guidance on export procedures, documentation, and incentives, thereby helping businesses penetrate foreign markets.","The support services provided to Tushar are ""Entrepreneurial Support Services.""


First, BSCIC provided specialized training, which is crucial for skill development in managing a production unit. This technical knowledge helps an entrepreneur understand the production cycle and quality control.


Second, the provision of a loan is a financial support service. Access to initial capital is a major barrier for new entrepreneurs, and by providing this, BSCIC enabled Tushar to bridge the gap between his business idea and practical implementation.


Third, this combined support of training and financing acts as a foundational service, reducing risk and building the entrepreneur's confidence to establish a successful boutique factory.","No, in my opinion, government assistance alone cannot ensure the export of Tushar’s products; it requires a combination of both government support and individual entrepreneurial effort.


1. Internal Quality Standards: Government support provides funds, but Tushar must ensure his boutique products meet international quality, design, and durability standards to be competitive in the global market.


2. Proactive Marketing Strategy: While the government can facilitate trade, Tushar needs to actively engage in marketing, find reliable international distributors, and understand the preferences of foreign consumers, which are individual responsibilities.


3. Efficient Management: Success depends on Tushar’s managerial efficiency, such as cost control, timely production, and building a professional supply chain. Without these internal strengths, government funds will not automatically result in successful exports.


4. Competitive Edge and Branding: Ultimately, Tushar must create a unique brand identity and maintain a competitive price point. Government assistance is a catalyst, but the sustainable success of his export business relies on his own innovative leadership and strategic decision-making."
2019,Business 1st Paper,9,Dinajpur,Board,"Aria took training on block and batik work under the Department of Youth Development. With the money saved by her mother and with permission in her mother's name, she built a boutique shop called ""Mama's Blessings"". Her business is succeeding because she supplies products according to the needs and tastes of consumers.",Write the full form of ASA.,Why does an entrepreneur need to self-analyze?,What kind of support services did Aria receive from the Department of Youth Development? Explain.,"""Aria is a successful female entrepreneur"" - Analyze with reasoning.","ASA stands for ""Association for Social Advancement"".","An entrepreneur needs to self-analyze to understand their own strengths, weaknesses, opportunities, and threats. This process helps them identify areas for improvement, make informed decisions, and adapt to changing market conditions.","Aria received ""Entrepreneurial Training Service"" from the Department of Youth Development.


First, the Department provided specialized skill-based training in ""block and batik work,"" which is fundamental for her production capabilities. This technical training equipped her with the necessary expertise.


Second, this service acts as a support system that builds professional capability. By receiving institutional training, Aria transformed into a skilled professional ready to manage her boutique shop.","Aria is a successful female entrepreneur for the following reasons:


1. Taking Initiative: She identified a business opportunity and took the initiative to establish her own boutique shop.

2. Strategic Resource Utilization: She effectively utilized available resources, such as her mother’s savings, to turn a plan into a tangible, operating business.

3. Market-Oriented Approach: Her success stems from her ability to understand and fulfill consumer needs and preferences.

4. Demonstrated Growth: The fact that her business is ""succeeding"" indicates that she has successfully managed production, marketing, and sales."
2019,Business 1st Paper,9,Chittagong,Board,"Tithi has wanted to be self-reliant since childhood. So, after finishing her studies, she set up an export-oriented factory named ""Tithi Garments"" at place ""K"". For this, she took financial and technical assistance from an NGO institution named ""Kh"". Currently, 300 employees are working in her institution. The reputation of the institution is increasing day by day due to the export of clothing to various countries.",What is the full form of FBCCI?,Why is BGMEA important in the garment industry? Explain.,"What kind of support services did ""Tithi Garments"" receive to operate the business? Explain.","In light of the stem, analyze the undeniable role of ""Tithi Garments"" in earning foreign currency.","FBCCI stands for ""The Federation of Bangladesh Chambers of Commerce and Industry"".","BGMEA is crucial because it acts as the primary representative body for the readymade garment (RMG) sector in Bangladesh. It plays a vital role in policy advocacy, ensuring compliance with international labor standards, resolving trade disputes, negotiating favorable export terms, and providing technical support to member factories.","Tithi Garments received ""Entrepreneurial Support Services"" from the NGO.


First, she received financial assistance, which is a critical support service for any new entrepreneur, enabling Tithi to overcome the initial hurdle of setting up her factory without having to rely solely on formal banking systems.


Second, she received technical assistance. This includes guidance on factory management, production techniques, and operational efficiency. By combining financial aid with technical know-how, the NGO provided Tithi with the necessary resources to effectively manage and scale her operations.


Third, these services collectively acted as a catalyst for her success. By addressing both the capital and the expertise needs, the NGO helped transition Tithi from an aspiring individual to a successful owner of an export-oriented business.","The role of Tithi Garments in earning foreign currency is indeed undeniable based on the following analysis:


1. Contribution to Export Volume: By operating as an export-oriented factory, the institution directly contributes to the country's total export volume. Every unit of clothing sold in foreign markets represents an inflow of foreign exchange.


2. Increasing Demand and Global Reach: The fact that the institution’s reputation is increasing due to clothing exports indicates a growing demand. This persistent international demand leads to consistent foreign currency earnings, which is vital for the national economy.


3. Strengthening Industrial Growth: With 300 employees, the factory plays a significant role in industrial employment and production capacity. Larger production capacity leads to larger export quantities, directly scaling up the contribution to the national reserves of foreign currency.


4. Economic Stability: By successfully participating in the global garment trade, Tithi Garments supports the national economy’s stability, reducing trade deficits and fostering sustainable industrial growth."
2019,Business 1st Paper,9,Barisal Board,Board,"Mr. Riaz supplies shirts and pants produced in his 'A Plus' factory to famous brand showrooms in various countries. In 2017, due to a 1-week delay in the supply of 100,000 shirts, the famous English brand ""Hads"" refused to accept them. Later, the representative organization of 'A Plus' helped sell those shirts at a relatively lower price in various markets in Dhaka.",What is the full form of BIMSTEC?,Is the main objective of the SME Foundation to earn profit? Explain.,Explain the type of supportive services received by 'A Plus' company from the representative organization in the stem.,Identify the representative organization mentioned in the stem and evaluate its role in increasing the country's export earnings.,The full form of BIMSTEC is Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation.,"The primary objective of the SME Foundation is not to earn profit, but to foster the development and growth of Small and Medium Enterprises. It is a non-profit government entity that acts as a driving force for the economy by enhancing entrepreneurial capacity, providing training, and facilitating access to low-interest loans.","The organization that assisted 'A Plus' company in selling their shirts is a Trade Association or Business Representative Organization (such as BGMEA or BKMEA). This organization provided marketing and sales support to help the company recover from a crisis, acting as a facilitator to find alternative domestic markets when international exports failed.


Furthermore, such organizations provide legal advice, lobbying services, and mediation between businesses and international stakeholders to overcome adverse situations.


They also play a vital role in market research and maintaining sales networks, ensuring that member firms can mitigate losses during supply chain or contract disruptions.","The representative organization mentioned in the stem is likely the Bangladesh Garment Manufacturers and Exporters Association (BGMEA) or BKMEA. These organizations play a monumental role in increasing national export earnings.


Firstly, they engage in policy advocacy with the government to create a business-friendly environment and work on international branding to expand market reach.


Secondly, they ensure factory compliance, worker safety, and quality standards through continuous training and monitoring, which builds the trust of international buyers and helps secure long-term export contracts.


Thirdly, they organize and facilitate participation in international trade fairs and exhibitions, allowing local manufacturers to connect with global buyers and explore new export destinations.


In conclusion, these representative organizations act as the backbone of the export sector, providing the necessary institutional support to ensure sustainable growth and a significant contribution to the national economy."
2019,Business 1st Paper,9,Barisal Board,Board,"Mr. Mamun is the finance manager of Independent Ltd. He stays in the office from 9 AM to 7 PM. Sometimes it gets as late as 10 PM, and he even has to work on Fridays. Frustrated by these obligations, he quit his job and opened a large pharmacy in the heart of the city. Six employees work in his shop, and Mr. Mamun sits at the shop occasionally.",Who is a woman entrepreneur?,What is meant by the need for achievement?,Explain the entrepreneurial qualities displayed by Mr. Mamun in establishing his business as per the stem.,Analyze how Mr. Mamun's current profession plays a greater role in creating employment.,"A woman entrepreneur is a woman who, either individually or jointly with others, organizes, manages, and assumes the risk of a business enterprise.","The need for achievement is the internal desire or drive of an individual to accomplish difficult tasks, excel, and meet high standards of performance. It motivates entrepreneurs to seek success, take calculated risks, and achieve independence in their work.","Mr. Mamun demonstrates several key entrepreneurial qualities:


First, he possesses independence and a desire for autonomy. His frustration with rigid office hours and lack of freedom led him to seek a path where he could control his own time and work environment.


Second, he shows risk-taking ability. Moving from a stable finance manager position to becoming a business owner in a competitive market requires the courage to face uncertainty and financial stakes.


Third, he exhibits initiative. By identifying a business opportunity in the heart of the city and taking the necessary steps to set up the pharmacy, he shows the proactive nature essential for an entrepreneur.","Mr. Mamun’s current profession, as a business owner (pharmacy), contributes more significantly to employment generation compared to his previous job for several reasons:


Initially, in his previous role as a manager, he was merely an employee contributing to the growth of an existing firm. Now, as an owner, he has directly created jobs for 6 employees, helping to reduce the unemployment rate in the country.


Furthermore, his business provides a source of income not just for himself, but for 6 families, thereby contributing to the socioeconomic development of his community.


Additionally, small and medium enterprises (SMEs) like pharmacies are labor-intensive and crucial for local economic circulation, providing essential services while fostering self-employment and entrepreneurial growth.


In conclusion, by transitioning from a job-seeker to a job-creator, Mr. Mamun has shifted from a dependent position to a self-reliant one, which is the cornerstone of national economic growth and widespread employment generation."
2018,Business 1st Paper,9,Dhaka Board,Board,"Mr. Abdul Hai is a garment industry owner and exporter. Recently, when a dispute arose with the Japanese firm 'MISAKA', he resolved it with the help of an organization formed by similar types of institutions. Mr. Abdul Hai's business participates in various international fairs. Additionally, another organization helps in earning a lot of foreign currency by exporting clothes to various countries. As a result, the business's success is increasing day by day.",কী?,শিল্প ও বণিক সমিতি গুরুত্বপূর্ণ কেন? ব্যাখ্যা করো।,উদ্দীপকে উল্লিখিত 'MISAKA' প্রতিষ্ঠানের সাথে বিরোধ মীমাংসার পেছনে কোন প্রতিষ্ঠান ভূমিকা রাখছে বলে তুমি মনে করো? ব্যাখ্যা করো।,উদ্দীপকে প্রচুর বৈদেশিক মুদ্রা অর্জন করার পেছনে যে প্রতিষ্ঠানটি ভূমিকা রাখছে তার কাজগুলো আলোচনা করো।,"Business support services are the various auxiliary activities that assist business enterprises in operating, developing, and overcoming obstacles, such as trade associations, chambers of commerce, and government agencies.","Chambers of Commerce and Industry are crucial because they serve as the bridge between the business community and the government. They protect the interests of entrepreneurs, formulate unified opinions on trade policies, resolve inter-business disputes, and provide essential guidance for market expansion.","The organization that helped Mr. Abdul Hai resolve his dispute with 'MISAKA' is likely a specialized trade association, such as the Bangladesh Garment Manufacturers and Exporters Association (BGMEA) or BKMEA. These organizations are formed by similar types of enterprises to protect their mutual interests in the global market.


As a collective body, they provide legal support, negotiation assistance, and mediation services when their members face difficulties with international buyers.


By utilizing their diplomatic influence and industry standing, these associations ensure that disputes are settled professionally, preventing loss of reputation and business for the local entrepreneur.","The organization facilitating foreign currency earnings through exports is likely the Export Promotion Bureau (EPB) or a similar trade-promoting body. Its primary functions include:


First, it conducts market research to identify new global demand and explores potential markets for domestic products, ensuring that exporters can focus on high-value destinations.


Second, it organizes and facilitates participation in international trade fairs, which allows businesses like Mr. Abdul Hai’s to showcase products to global buyers and secure large-scale export orders.


Third, it provides policy support, training, and information regarding export incentives, product standards, and compliance, which are essential for maintaining competitiveness in the international market.


Finally, it serves as a liaison between exporters and international stakeholders to streamline trade procedures, thereby directly contributing to the increase in national foreign exchange reserves."
2018,Business 1st Paper,9,Rajshahi Board,Board,"After marriage, Ayesha Begum took a six-month training on 'Beautification and Parlor' organized by the Department of Women Affairs. She took an SME loan from a bank in her city to establish the 'Ayesha Beauty Parlor' and is running it with a good reputation.",What is supportive service?,What is meant by Chambers of Commerce and Industry? Explain.,What kind of support did the Department of Women Affairs provide to Ayesha Begum? Explain.,"Based on the stem, how much do you think SME loans can contribute to the country's development? Provide arguments.","Supportive service refers to the assistance, training, guidance, or financial help provided by various government or non-government organizations to help entrepreneurs establish, operate, and succeed in their business ventures.","Chambers of Commerce and Industry are voluntary organizations formed by business persons and industrial owners to promote, protect, and regulate trade and commerce. They act as a common platform to represent the interests of the business community to the government and other regulatory bodies.


These bodies are crucial for policy advocacy, conflict resolution, networking, and providing essential information and training to entrepreneurs to ensure smooth business operations.","The Department of Women Affairs provided Skill Development Training to Ayesha Begum. This is a critical supportive service aimed at empowering women by equipping them with practical, income-generating technical skills.


By offering this six-month training on 'Beautification and Parlor,' the department enabled her to gain the professional expertise necessary to start her own business.


Such training services are essential for entrepreneurship development because they bridge the gap between unemployment and self-reliance, giving individuals like Ayesha the confidence and technical capability to enter the market.","SME loans are a powerful catalyst for national development, and their contribution is immense for several reasons:


Firstly, Employment Generation: Small and Medium Enterprises are labor-intensive. By providing capital to entrepreneurs like Ayesha, these loans directly create jobs for others and reduce unemployment, which is a major hurdle for a developing economy like Bangladesh.


Secondly, Poverty Alleviation and Economic Inclusion: SME loans allow people to become self-employed, turning them from job seekers into job creators. This improves the financial status of individuals and their families, leading to overall poverty reduction at the grassroots level.


Thirdly, Economic Decentralization: Large industries are often concentrated in capital cities. SME loans empower local entrepreneurs to start businesses in their own towns or rural areas, promoting balanced regional development and preventing urban migration.


Finally, Contribution to GDP: SMEs account for a significant portion of the GDP in many developing countries. By supporting SMEs, the government fosters a robust private sector, stimulates local demand, and encourages the expansion of domestic industries, which ultimately leads to sustainable national economic growth."
2018,Business 1st Paper,9,Dhaka Board,Board,"Mr. Harun is a garment businessman who exports apparel abroad. To capture foreign markets, he decided to use more advanced machinery, but due to insufficient government support, he faces problems in importing them. Recently, the government increased tariff rates on both importing machinery and exporting garments, causing Mr. Harun significant concern. However, in 2015, with the help of the trade association in this sector, he participated in an international exhibition and won an award. Additionally, his firm has received various education and training related to garments from that same association.",What is ASEAN?,Why are NGOs important for social development? Explain.,With the help of which organization did Mr. Harun receive an international award? Explain.,Which lack of supportive service is the main cause of Mr. Harun's anxiety? Give your opinion.,ASEAN stands for the Association of Southeast Asian Nations.,"NGOs are important for social development because they operate at the grassroots level to address gaps in government services. They focus on poverty alleviation, healthcare, education, and women's empowerment, creating sustainable development opportunities for marginalized communities.


They also act as watchdogs and advocates for social justice, helping to raise awareness about human rights and fostering community participation in development projects, which leads to improved living standards and social equity.","Mr. Harun received the international award with the help of a Trade Association related to the garment sector, such as the Bangladesh Garment Manufacturers and Exporters Association (BGMEA). Such organizations facilitate the participation of member firms in international exhibitions and trade fairs.


By acting as a mediator and platform provider, these associations help entrepreneurs showcase their products globally, connect with international buyers, and gain recognition.


Furthermore, they provide the necessary training and technical guidance that enable local businesses to meet international standards, which is a prerequisite for winning such prestigious awards.","The main cause of Mr. Harun’s anxiety is the lack of favorable Policy Support and Incentives for Technology Adoption from the government. His goal of modernizing his factory is being hindered by the government's decision to increase tariffs on imported machinery and exports.


Firstly, high import duties make it financially difficult to acquire advanced technology, which is essential for maintaining global competitiveness.


Secondly, the increased export tariffs directly reduce profit margins, making it harder for businesses to expand or reinvest in growth.


In my opinion, the absence of protective trade policies or subsidies for the garment sector—a pillar of the economy—creates a disincentive for entrepreneurs to innovate. If the government provided easier access to low-interest credit, reduced tariffs on machinery, or provided export incentives, Mr. Harun could easily overcome these hurdles and focus on scaling his business."
2018,Business 1st Paper,9,Dhaka Board,Board,"Mr. Sudarshan is an officer at Bank X. The bank records customer transactions on computers instead of ledger books. For exchanging information, the bank uses mobile messages, e-mail, etc., instead of letters. Customers can withdraw money anytime from any booth using cards without visiting the bank. Currently, the bank's customers are using this technology to pay for product prices, bills, and employee salaries.",রাষ্ট্রীয় ব্যবসায় কী?,ব্যবসায় নৈতিকতা কেন প্রয়োজন? ব্যাখ্যা করো।,X ব্যাংক কোন ধরনের ব্যাংকিং পদ্ধতি চালু করেছে? ব্যাখ্যা করো।,উদ্দীপকে বর্ণিত বিশেষ কার্ডটি গ্রাহকদের লেনদেন প্রক্রিয়াকে করেছে-তুমি কি এ বিষয়ে একমত? মতামত দাও।,"State business refers to business enterprises owned, managed, and controlled by the government to ensure public welfare and control essential services.","Business ethics are necessary to maintain trust, ensure fair competition, and build long-term relationships with customers, employees, and society. Ethical practices prevent fraud, protect consumer rights, and contribute to the sustainable growth of an organization's reputation.","Bank X has implemented E-Banking or Online Banking (specifically Electronic Banking services). This system replaces traditional manual operations with digital technology to manage data, conduct transactions, and provide 24/7 service.


By utilizing computers for ledger management, e-mail and mobile messaging for communication, and automated booths for withdrawals, the bank has transitioned to a paperless and efficient digital framework.


This mode of banking is characterized by speed, accuracy, and accessibility, allowing the bank to offer modern financial services like digital bill payments and payroll processing.","Yes, I fully agree that the special card (ATM/Debit/Credit card) mentioned in the stem has revolutionized the transaction process for customers.


Firstly, it provides unmatched convenience by allowing 24/7 access to funds from any location, eliminating the need to visit a bank branch during limited office hours.


Secondly, it facilitates digital financial inclusion by enabling cashless transactions, such as paying for goods, utility bills, and payroll, which reduces the risks associated with carrying physical cash.


Thirdly, it enhances operational efficiency and transparency. Automated systems reduce human error in ledger maintenance and provide customers with real-time tracking of their financial activities, leading to greater security and accountability.


In conclusion, the card-based transaction system is a fundamental component of the modern digital economy, significantly simplifying life for customers and fostering a cashless society that is faster, safer, and more reliable."
2017,Business 1st Paper,9,Dhaka Board,Board,"Mitali Dutta from Rangpur collects fish from Natore and Pabna to produce dried fish (Shutki) and supplies it to various regions of the country. Although she contacted several banks for a loan, she could not secure one without collateral. A friend of hers mentioned a bank where entrepreneurs like her can get collateral-free loans. She contacted that bank, successfully secured the loan, and was able to expand her business.",What is the full form of BSCIC?,What is meant by the SME Foundation? Explain.,From which bank can Mitali Dutta get a collateral-free loan? Explain.,To what extent can such bank loans contribute to the development of women entrepreneurship? Analyze with arguments.,The full form of BSCIC is Bangladesh Small and Cottage Industries Corporation.,"The SME Foundation is a non-profit pan-governmental organization in Bangladesh established to foster the growth and development of Small and Medium Enterprises. It operates as the core driving force for macro-economic development by offering non-financial and financial assistance to small-scale industries.


Its primary activities include expanding entrepreneurship development programs, providing skill-based training, matching market linkups, and facilitating low-interest, soft-term credit lines for micro-entrepreneurs, particularly prioritizing women.","Mitali Dutta can obtain a collateral-free loan from Karma Sangsthan Bank or specialized financial institutions operating under the SME credit refinancing schemes of Bangladesh Bank, such as BRAC Bank or the SME Foundation's partnered banks. These institutional lenders offer dedicated windows for small-scale micro-enterprises and agro-processing businesses like dried fish manufacturing.


Traditional commercial banks generally demand immovable physical assets or fixed deposits as financial collateral to secure business funding. However, specialized development financial institutions assess the viability, cash flow projections, and trade integrity of the business model instead of demanding property asset backings.


By utilizing credit refinancing facilities backed by central bank directives, these specialized banks explicitly target grassroots cluster entrepreneurs who possess technical skills and operational viability but lack physical wealth, thereby matching Mitali's exact operational requirements.","Collateral-free credit accessibility is the most pivotal factor in unlocking the untapped potential of women entrepreneurship and integrating them into the formal economy for several key reasons:


Firstly, Overcoming Asset Ownership Barriers: In the socio-economic context of Bangladesh, women rarely hold formal legal ownership of landed properties or major physical assets required as collateral. Eliminating the asset pledge requirement acts as an immediate equalizer, allowing skilled women like Mitali Dutta to access institutional credit lines that were historically unavailable to them.


Secondly, Socio-Economic Empowerment and Self-Reliance: When a woman entrepreneur secures independent funding, it directly enhances her financial decision-making power within the household and community. The profitability from expanded micro-enterprises directly drives investment into family health, standard nutrition, and higher education for children, leading to multi-generational poverty reduction.


Thirdly, Grassroots Industrialization and Local Employment: Women-led small-scale enterprises are inherently labor-intensive and frequently draw resources from local supply chains, such as collecting raw materials across agricultural zones like Natore and Pabna. Expanding these enterprises translates directly into sustainable wage employment for local vulnerable or unemployed rural women, mitigating regional economic disparities.


In conclusion, targeted institutional financing without collateral requirement is not merely a banking product, but a strategic economic intervention tool. It effectively transforms passive home-makers into active capital accumulators, proving absolutely indispensable for achieving balanced, inclusive, and sustainable national GDP growth."
