Year,Subject,Chapter,Level,Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
2025,Business 2nd Paper,1,Dhaka,Board,Who is the father of Human Resource Management?,J.R. Commons,Hugo Munsterberg,Robert Owen,Elton Mayo,c,Robert Owen is widely recognized as the father of Human Resource Management for his early efforts to improve working conditions.
2025,Business 2nd Paper,1,Dhaka,Board,"Middle-level managers are- (i) Managing Director, (ii) Departmental Manager, (iii) Regional Manager.",i & ii,i & iii,ii & iii,"i, ii, & iii",c,Departmental and regional managers operate at the middle management level. Managing Directors are top-level.
2025,Business 2nd Paper,1,Dhaka,Board,"[Stem: Titas & Co. set a target of 10,000 units. Production department failed to notify the purchase department in time, so raw materials weren't bought. Target failed.] Which management function was not completed properly?",Organizing,Coordination,Leadership,Control,b,Coordination is the function that aligns the activities of different departments (production and purchase) to achieve goals.
2025,Business 2nd Paper,1,Dhaka,Board,"[Stem: Same as above] What should be done to achieve production targets? (i) Increase communication, (ii) Maintain unity among departments, (iii) Increase equipment capacity.",i & ii,i & iii,ii & iii,"i, ii, & iii",a,Improving communication and maintaining unity (coordination) are key to fixing the functional gap identified in the stem.
2025,Business 2nd Paper,1,Dhaka,Board,What is the next step of Control in the management cycle?,Leadership,Coordination,Staffing,Planning,d,"In the continuous management cycle, the control process leads to the identification of gaps, which are then addressed in the next cycle's Planning."
2025,Business 2nd Paper,1,Dhaka,Board,What is the first function of management?,Planning,Organizing,Leadership,Control,a,Planning is the foundational and primary function upon which all other management activities are built.
2025,Business 2nd Paper,1,Dhaka,Board,[Stem: Mr. Rahim is Managing Director. Mr. Jasim is an accountant handling ledger and stock register. Mr. Rahim handles policy decisions.] Mr. Rahim works at which level?,Top,Middle,Lower,Top & Middle,a,"Managing Directors are responsible for policy formulation, which is the primary duty of Top-level management."
2025,Business 2nd Paper,1,Dhaka,Board,"[Stem: Same as above] Regarding Mr. Jasim: (i) Needs more technical skills, (ii) Coordinates between departments, (iii) Positioned at lower management level.",i & ii,i & iii,ii & iii,"i, ii, & iii",b,"Accountants at this level perform operational tasks (lower level) and require high technical skills, not departmental coordination."
2025,Business 2nd Paper,1,Rajshahi,Board,Which work relates to assigning the right person to the right duty?,Planning,Organizing,Staffing,Directing,c,Staffing is the management function specifically responsible for acquiring and placing the right talent in the right roles.
2025,Business 2nd Paper,1,Rajshahi,Board,Formulating policies and plans is the responsibility of which management level?,Top,Middle,Lower,Top & Lower,a,Policy formulation and long-term strategic planning are the exclusive domains of Top-level management.
