Year,Subject,Chapter,Level,Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
2023,Accounting 2nd Paper,1,Combined Board,Board,Capital Fund is considered a/an ________ for a non-profit organization.,External Liability,Asset,Internal Liability,Revenue,c,"The Capital Fund (মূলধন তহবিল) represents the internal claim or equity of the organization's members. Since it represents a obligation toward the members within the entity, it is classified as an Internal Liability (অন্তর্দায়)."
2019,Accounting 2nd Paper,1,Dhaka Board,Board,"If a life member of a club passes away, where should their unspent life membership subscription balance be transferred?",To the Income Statement,To the Receipts and Payments Account,To the Opening Capital Fund,To the Closing Capital Fund,d,"When a life member dies, their life subscription is no longer a deferred liability. It becomes a permanent capital source and is closed out by transferring it directly to the Closing Capital Fund (সমাপনী মূলধন তহবিল) in the Statement of Financial Position."
2019,Accounting 2nd Paper,1,Dhaka Board,Board,"Sonali Club receives BDT 240,000 as a life membership subscription from Mr. 'X', who is currently 25 years old. The estimated life expectancy of Mr. 'X' is 85 years. How much money should be recognized as revenue income every year?","BDT 9,600","BDT 4,000","BDT 2,823.53","BDT 2,181.82",b,"The total subscription must be amortized over the remaining life expectancy of the member. Remaining life = $85 - 25 = 60\text{ years}$.

Annual revenue recognition = $\frac{\text{BDT } 240,000}{60\text{ years}} = \text{BDT } 4,000$."
2019,Accounting 2nd Paper,1,Dhaka Board,Board,"The following financial data has been extracted from the records of Nakshi Club:

December 31, 2018: Balance of Receipts & Payments account BDT 12,000, Furniture BDT 40,000, 15% Investment BDT 60,000. Outstanding salary and outstanding rent for the year 2018 were BDT 4,000 and BDT 1,200 respectively, which were paid in 2019. Out of the subscriptions collected in 2019, BDT 5,400 belonged to the previous year.


Q. What was the amount of the Capital Fund on January 01, 2019?","BDT 117,400","BDT 112,200","BDT 106,800","BDT 88,200",b,"Opening balances as of Jan 1, 2019 include 2018 year-end values.

Opening Assets = Cash balance ($12,000$) + Furniture ($40,000$) + Investment ($60,000$) + Arrear Subscriptions receivable ($5,400$) = BDT $117,400$.

Opening Liabilities = Outstanding Salary ($4,000$) + Outstanding Rent ($1,200$) = BDT $5,200$.

Capital Fund = $\text{Assets} - \text{Liabilities} = 117,400 - 5,200 = \text{BDT } 112,200$."
2019,Accounting 2nd Paper,1,Rajshahi Board,Board,"The closing balance of the Receipts and Payments Account of a non-profit organization signifies—


i. Cash in hand

ii. Cash at bank

iii. Net surplus income or deficit loss


Which of the following is correct?",i and ii,i and iii,ii and iii,"i, ii and iii",a,The Receipts and Payments Account is a summarized cash book. Its closing balance represents actual closing cash in hand (i) and cash at bank (ii). It does not indicate revenue profit or loss (iii).
2019,Accounting 2nd Paper,1,Rajshahi Board,Board,Which of the following options represents one of the major general revenue sources of a non-profit organization?,General Grants / Donation,Admission Fee,Locker Rent,Magazine Sale,a,"While admission fees, locker rents, and magazine sales are receipts, the primary, largest structural source of revenue income enabling non-profit survival is recurring Grants and Donations (अनुদান)."
2019,Accounting 2nd Paper,1,Jessore Board,Board,"After adjusting for current year's outstanding salary of BDT 5,000 and previous year's outstanding salary of BDT 2,500, the salary expense in the Income and Expenditure Account is shown as BDT 18,000. What was the amount of salary actually paid in the Receipts and Payments Account?","BDT 12,500","BDT 13,000","BDT 15,500","BDT 20,500",c,"Salary Expense in Income & Expenditure = $\text{Cash Paid} + \text{Current Outstanding} - \text{Previous Outstanding}$.

$18,000 = \text{Cash Paid} + 5,000 - 2,500$

$18,000 = \text{Cash Paid} + 2,500$

$\text{Cash Paid} = 18,000 - 2,500 = \text{BDT } 15,500$."
2019,Accounting 2nd Paper,1,Jessore Board,Board,"Read the stem and answer the question:

On January 01, 2018, Suborna Club had outstanding subscriptions of BDT 2,500 and advance subscriptions of BDT 2,000. Total subscription collection in the Receipts & Payments account was BDT 34,000. The club has 80 active members, each paying an annual subscription fee of BDT 500. On December 31, 2018, advance subscription received stood at BDT 3,000.


Q. How much money will be shown under the assets side while preparing the Opening Capital Fund statement?","BDT 2,000","BDT 2,500","BDT 3,000","BDT 4,500",b,"Opening assets include incomes receivable at the start of the year. The outstanding subscription at the beginning of the year, BDT 2,500 (বকেয়া চাঁদা), is an asset and belongs on the asset side of the opening statement."
2019,Accounting 2nd Paper,1,Jessore Board,Board,"Read the stem and answer the question:

On January 01, 2018, Suborna Club had outstanding subscriptions of BDT 2,500 and advance subscriptions of BDT 2,000. Total subscription collection in the Receipts & Payments account was BDT 34,000. The club has 80 active members, each paying an annual subscription fee of BDT 500. On December 31, 2018, advance subscription received stood at BDT 3,000.


Q. What is the amount of outstanding subscription for the year 2018?","BDT 6,000","BDT 8,500","BDT 9,500","BDT 10,500",c,"Total target revenue for 2018 = $80 \times 500 = \text{BDT } 40,000$.

Revenue recognized from collections = $\text{Total Received } (34,000) - \text{Opening Outstanding } (2,500) + \text{Opening Advance } (2,000) - \text{Closing Advance } (3,000) = \text{BDT } 30,500$.

Current Year Outstanding = $\text{Target Revenue } (40,000) - \text{Revenue Recognized } (30,500) = \text{BDT } 9,500$."
2019,Accounting 2nd Paper,1,Comilla Board,Board,"What is meant by the term ""Capital Fund"" in non-profit accounting?",Asset and liability statement,The difference between total assets and total liabilities,The summary of income and expenditure items,The difference between total cash receipts and cash payments,b,The Capital Fund (মূলধন তহবিল) is calculated using the baseline formula: $\text{Capital Fund} = \text{Total Opening Assets} - \text{Total Opening Liabilities}$. It represents the net asset accumulation of the entity.
