Year,Subject,Chapter,Level,Category,Stem,Question_A,Question_B,Question_C,Question_D,Ans_A,Ans_B,Ans_C,Ans_D
2025,Business Organization and Management 2nd Paper,Principles of Management,Dhaka Board,Board,"Mr. Maruf is a supervisor of a production project. For his work, he has to be accountable to multiple managers. Due to being accountable to multiple managers at the same time, the dynamics of his work are hampered. He is thinking of informing the higher authority about the matter.",Where was Henri Fayol born?,"""Management is a separate branch of knowledge""—Explain.",Which level of management's responsibility is Mr. Maruf performing? Explain.,"Which principle of management is being violated, causing problems in Mr. Maruf's work? Evaluate it in the light of the stem.","Henri Fayol was born in Istanbul, Turkey.","Knowledge: Management is recognized as a separate branch of knowledge because it has its own distinct theories, principles, concepts, and specialized methods that can be taught, learned, and applied systematically.


Explanation: Traditionally, management was often thought of as an inherent art or talent. However, over time, extensive research and contributions from scholars like Henri Fayol and Frederick Winslow Taylor have developed it into a structured discipline. Today, management is taught globally in universities and business schools as a professional degree, possessing its own literature, code of conduct, and specialized techniques, which qualifies it as a distinct branch of knowledge.","Knowledge Point: Mr. Maruf is performing the responsibilities of the lower-level management (or supervisory/operational management).


Explanation: The lower level of management is the bottom-most tier of an organizational hierarchy, situated directly above the non-managerial workers. Supervisors, foremen, and line managers belong to this level. Their primary role is to execute the plans and decisions made by higher management, oversee day-to-day operations, and directly manage workers on the field.


Application to Stem: In the stem, Mr. Maruf is explicitly mentioned as a supervisor of a production project. He works on the operational ground floor, translating managerial directives into actual production activities and reporting to higher-level managers. Therefore, his position and duties clearly align with lower-level management.","Knowledge Point: The principle of management being violated in Mr. Maruf's work is the ""Unity of Command"" (আদেশের ঐক্য নীতি).


Explanation: The principle of unity of command states that an employee should receive orders and instructions from only one direct superior at any given time, and should be accountable to that superior alone. If an employee receives orders from multiple bosses simultaneously, it leads to confusion, conflict, overlapping authority, and evasion of responsibility, ultimately reducing operational efficiency.


Application to Stem: According to the stem, Mr. Maruf has to remain accountable to multiple managers at the same time for his supervisor duties. This dual subordination has severely disrupted the dynamics and speed of his work, causing unnecessary friction and decision paralysis. He is unable to prioritize instructions, which is a textbook consequence of violating the unity of command.


Evaluation: Based on the analysis, the violation of this principle is the direct root cause of Mr. Maruf's workplace issues. To restore work momentum, eliminate confusion, and ensure clear accountability, management must strictly adhere to the unity of command. Mr. Maruf's decision to inform higher authorities is entirely justified, as a structured organization cannot function efficiently without a single, clear line of command for its field supervisors."
2025,Business Organization and Management 2nd Paper,Principles of Management,Dhaka Board,Board,"Mr. Sohan is the Managing Director of 'X' Ltd. pharmaceutical company. He runs the organization skillfully and in the right method by using machinery. Due to this, the organization becomes profitable. Recently, he has started retrenching workers even for minor mistakes. As a result, the employees remain constantly panicked and leave the company whenever they find a better job elsewhere. Consequently, the productivity of the organization is decreasing.",What is a principle?,Why is F.W. Taylor called the father of scientific management?,Due to which skill of an ideal manager did Mr. Sohan's organization become profitable? Explain.,Analyze the principle whose absence is causing the decrease in productivity in Mr. Sohan's organization.,"A principle is a fundamental truth or a set of guidelines that serves as a basis for systemized belief, behavior, or action.","Knowledge: F.W. Taylor (Frederick Winslow Taylor) is called the father of scientific management because he replaced traditional ""rule-of-thumb"" methods with systematic, scientific analysis to maximize industrial efficiency.


Explanation: Taylor conducted groundbreaking time, motion, and fatigue studies to standardize work procedures and determine the most efficient way to perform tasks. By publishing his core philosophies in his famous book ""The Principles of Scientific Management"" (1911), he laid down the foundation for scientific selection, training of workers, and harmonious cooperation between management and labor, revolutionizing the field of industrial production.","Knowledge Point: Mr. Sohan's organization became profitable due to his exceptional ""Technical Skill"" (কারিগরি দক্ষতা).


Explanation: Technical skill refers to the specialized knowledge, proficiency, and ability to use specific tools, machinery, procedures, techniques, and methodologies required to perform specific operational tasks. It is highly critical for managers to understand these mechanics to ensure that resources and equipment are being utilized at their optimum capacity.


Application to Stem: In the stem, it is stated that Mr. Sohan managed the company skillfully and in the correct method by utilizing the machinery. His ability to properly operate and guide the technical framework shifted the enterprise into a highly profitable state. This practical proficiency in handling operational resources directly highlights his strong technical skill.","Knowledge Point: The principle whose absence is causing the decrease in productivity in Mr. Sohan's organization is the ""Stability of Tenure of Personnel"" (কর্মীদের চাকরির স্থায়িত্বের নীতি).


Explanation: This principle, formulated by Henri Fayol, dictates that employees should be given job security and sufficient time to settle into their roles to perform efficiently. High employee turnover is both a cause and effect of bad management. If employees fear losing their jobs constantly, their morale drops, they cannot focus, and the organizational costs of recruitment and retraining rise significantly.


Application to Stem: According to the stem, Mr. Sohan began laying off employees over trivial mistakes. This created an atmosphere of constant fear and panic among the workforce. Instead of developing loyalty, the workers started fleeing the organization as soon as they found alternative employment, resulting in a severe drop in overall organizational productivity.


Evaluation: Based on the scenario, the severe lack of job security is the primary driving factor behind the company's declining efficiency. While technical prowess initially brought profits, ignoring the stability of personnel destroyed employee morale and human resource continuity. Therefore, to reverse the trend of falling productivity, Mr. Sohan must urgently reinstate job safety, replace fear with constructive feedback, and respect this vital management principle."
2025,Business Organization and Management 2nd Paper,Principles of Management,Rajshahi Board,Board,"Mr. Sifat is an efficient manager. He looks at all his subordinates with the same eye. The subordinates also respect him. As a result, the mutual relationship among them remains very strong. Besides, he assigns and places the human resources and other materials of the organization in the right place, so that efficient performance is ensured and no one faces any problem during work expansion.",What is administration?,Why is interpersonal skill important for a sales officer?,Which principle of management did Mr. Sifat follow in the first phase mentioned in the stem? Explain.,Evaluate the importance of the principle mentioned in the last part of the stem in making an organization dynamic.,"Administration refers to the highest-level authoritative body or function in an organization responsible for determining overall goals, policies, and major plans.","Knowledge: Interpersonal skill is vital for a sales officer because it enables them to effectively communicate, build positive relationships, and easily persuade diverse types of prospective customers.


Explanation: A sales officer's primary responsibility is to interact directly with clients and convert potential leads into successful sales. Since human behavior varies from person to person, a sales officer equipped with high interpersonal skills can empathize with customers, patiently address grievances, and establish a foundation of trust, which directly boosts consumer loyalty and the company's long-term sales figures.","Knowledge Point: In the first phase mentioned in the stem, Mr. Sifat followed the ""Principle of Equity"" (সাম্যের নীতি) of management.


Explanation: The principle of equity emphasizes that a manager must treat all subordinates with justice, fairness, and equal affection, completely free from any personal bias, nepotism, or discrimination. When employees observe that justice prevails and everyone is evaluated solely on merit, their loyalty, dedication, and dedication towards the organization increase significantly.


Application to Stem: According to the stem, Mr. Sifat treats all his subordinates with the same eye without any discrimination. This balanced, fair behavior has earned him immense respect from his subordinates and fostered a highly robust mutual relationship between them. This scenario perfectly mirrors the core application of the principle of equity.","Knowledge Point: The principle mentioned in the last part of the stem is the ""Principle of Order"" (শৃঙ্খলার নীতি), which plays an indispensable role in making an organization dynamic.


Explanation: The principle of order does not mean maintaining discipline; rather, it refers to ""a right place for everything/everyone and everything/everyone in its/their right place."" It ensures that material resources are structured properly and human resources are placed into positions that best match their individual qualifications, eliminating idle time, wastage, and operational chaos.


Application to Stem: The stem states that Mr. Sifat systematically places the organization's manpower and materials in their appropriate locations. This deliberate approach guarantees efficient work execution and smooth operational expansion without creating unnecessary workplace bottlenecks or confusion for anyone involved.


Evaluation: Based on the analysis, the principle of order acts as a cornerstone for maintaining operational momentum. When the right person is assigned the right task and materials are readily accessible, confusion is minimized, processing speed accelerates, and overall productivity skyrockets. Therefore, it can be concluded that adopting this principle is vital to transforming an ordinary business into a highly dynamic, smooth-running, and competitive enterprise."
2025,Business Organization and Management 2nd Paper,Introduction to Management,Rajshahi Board,Board,Mr. Dulal is a public relations officer of a company. He works to maintain communication with various internal and external parties related to the company and to create a good image of the organization. The Managing Director of the organization is a very busy person. He has to think about which direction the organization will go in the future. He can anticipate the future using his insight. The Board of Directors highly respects this skill of his.,What is a management cycle?,What is meant by the principle of scalar chain?,Which type of managerial role is evident in Mr. Dulal's work in the stem? Explain.,"Under which managerial skill does the quality of the Managing Director, which everyone respects, fall? Evaluate its role in the progress of the organization in the light of the stem.","Management cycle refers to the continuous, sequential process of management functions starting from planning and moving through organizing, staffing, directing, motivating, controlling, and back to planning.","Knowledge: The principle of scalar chain (জোড়া-মই-শিকলের নীতি) means that the line of authority, communication, and accountability should run smoothly in an unbroken chain from the highest rank to the lowest rank within an organization.


Explanation: According to Henri Fayol, this principle ensures that every position in the hierarchy is linked, preventing any gaps in communication or command. It establishes who reports to whom, thereby minimizing organizational confusion; however, in emergencies, a temporary cross-link called a ""gang-plank"" can be used to speed up communication between peers without breaking the core hierarchy.","Knowledge Point: In the stem, the ""Interpersonal Role"" (specifically the Liaison role) of a manager is evident in Mr. Dulal's work.


Explanation: According to Henry Mintzberg, managers perform interpersonal roles to maintain smooth organizational relationships and build social networks. The liaison role within this category involves establishing and maintaining communication channels with both internal stakeholders and external entities (like suppliers, media, public, and government) to create a cooperative web of information.


Application to Stem: In the stem, Mr. Dulal serves as a public relations officer. His core duties involve keeping in touch with various parties inside and outside the company and building a favorable public image for the enterprise. Because his tasks center heavily on network building and serving as a bridge between the firm and external environments, his activities directly represent the interpersonal liaison role.","Knowledge Point: The quality of the Managing Director highly respected by everyone falls under ""Conceptual Skill"" (কাল্পনিক বা ধারণা সংক্রান্ত দক্ষতা).


Explanation: Conceptual skill represents a manager's mental capacity to visualize the entire organization as a unified whole, analyze complex situations, anticipate future trends, and formulate long-term strategic plans. It is the most critical attribute for top-level managers, as their primary responsibility is to chart the future pathway of the enterprise based on market changes and internal potential.


Application to Stem: According to the stem, the Managing Director is a top-tier executive who constantly deliberates over the future strategic direction of the company. Equipped with sharp personal insight, he can successfully predict future industry trends, challenges, and opportunities, a specialized capability that commands immense respect from the Board of Directors.


Evaluation: Based on the scenario, conceptual skill plays an indispensable role in securing the long-term progress of the organization. While operational or technical skills keep daily functions running, it is the conceptual skill of top leadership that steers the business away from structural threats and guides it toward sustainable growth. Without this visionary capacity to anticipate the future, an enterprise would struggle to adapt to volatile market forces, making this skill the ultimate anchor for institutional advancement."
2025,Business Organization and Management 2nd Paper,Principles of Management,Jessore Board,Board,"Mr. Nabin Hosain is a production manager of a manufacturing organization. He has taken various steps to implement the production work of his organization. But the way he has structured different departments shows that some departments are overly burdened with work, while some other departments are spending idle time. Besides, he does not look at all the employees of the organization with an equal eye. This creates various types of conflicts among the workers.",What is called a principle of management?,"Why is the principle of ""Unity is strength"" important in achieving goals?",Which principle of management was not followed first in the organization of the stem? Explain.,What kind of steps do you think Mr. Nabin Hosain should take to resolve the conflicts among the employees?,"Principles of management refer to the fundamental, time-tested truths or general guidelines that managers follow to execute organizational activities and make decisions.","Knowledge: The principle of ""Unity is strength"" (Esprit de Corps) is important because it fosters team spirit, mutual trust, and collective cooperation among employees, making it easier to achieve challenging organizational goals.


Explanation: In any organization, individual efforts cannot bring success unless they are unified toward a common objective. When management promotes a sense of unity and belongings, employees work together as a cohesive unit, which minimizes internal friction, increases operational speed, and helps overcome organizational obstacles efficiently.","Knowledge Point: The principle of management that was first not followed in the organization is the ""Principle of Balanced Workload or Division of Work"" (specifically focusing on the lack of ""Balance/Harmony"" in organizational design). Note: In standard Henri Fayol principles, this structural imbalance directly violates the core spirit of proper Division of Work and Responsibility (কার্যবিভাজন নীতি).


Explanation: The principle of division of work implies dividing the total organizational task into small, manageable parts and assigning them to individuals or departments based on capability. A crucial aspect of this setup is balancing the workload across sections. If departments are structured haphazardly, it creates an uneven distribution where one unit gets exhausted while another sits idle, breaking organizational harmony and reducing efficiency.


Application to Stem: According to the stem, Mr. Nabin structured his various departments in an unscientific and unequal manner. As a direct result, some departments became excessively overburdened with pressure, while other departments were left spending idle time with no significant tasks. This structural flaw clearly shows that the principle of balanced division of work and organizational harmony was completely ignored in the initial departmental design phase.","Knowledge Point: To resolve the conflicts among the employees, Mr. Nabin Hosain must strictly implement the ""Principle of Equity"" (সাম্যের নীতি) and restructure workloads according to scientific management principles.


Explanation: The principle of equity states that managers must treat all subordinates with equal affection, fairness, and justice, entirely free from personal bias or favoritism. When an executive practices favoritism or distributes work unjustly, it breeds resentment, destroys morale, and turns the workplace into a breeding ground for destructive internal politics and interpersonal conflicts.


Application to Stem: The stem reveals that Mr. Nabin does not view all his employees with an equal eye, which has directly triggered intense jealousy and psychological conflicts among the workforce. Combined with the frustratingly unequal distribution of workloads between departments, the human resource environment of his manufacturing firm has completely destabilized.


Evaluation: Based on the situation, I believe Mr. Nabin must take two urgent corrective steps to clear the conflict. First, he must change his behavioral approach and treat every single employee with impartial dignity and fairness under the principle of equity. Second, he needs to conduct a thorough job analysis to redistribute responsibilities evenly across departments so that no team feels exploited or left out. Embracing these steps will replace internal friction with unity, ultimately restoring a healthy and productive work environment."
2025,Business Organization and Management 2nd Paper,Introduction to Management,Jessore Board,Board,"Mr. Abesh is an officer-in-charge of the production department. Being directed by the Managing Director, he executes all the activities of the production department and remains accountable for it. With the aim of increasing production, he wants to appoint a supervisor. His expectation is that the appointed supervisor will be skilled in using machinery and capable of explaining work practically (hands-on) to the workers.",What is decentralization?,Explain the principle of unity of command.,Which level of manager is Mr. Abesh in the stem? Describe.,What type of skill do you think the supervisor should possess to fulfill Mr. Abesh's expectation in the stem? Analyze with arguments.,Decentralization refers to the systematic and permanent delegation of decision-making authority down to the lower levels of an organizational hierarchy.,"Knowledge: The principle of unity of command states that an employee should receive orders from only one direct superior and should be held accountable to that single superior alone.


Explanation: According to Henri Fayol, dual subordination must be avoided because if an employee receives conflicting commands from multiple bosses, it creates confusion, indiscipline, and division of responsibility. Adhering to this principle ensures operational clarity, preserves workplace discipline, and makes it easier to measure individual performance accurately.","Knowledge Point: In the stem, Mr. Abesh is a ""Mid-level Manager"" (মধ্যবর্তী স্তরের ব্যবস্থাপক).


Explanation: Mid-level management acts as a bridge between top leadership (which formulates policies and strategies) and lower-level operational management (which executes field tasks). Roles like department heads, divisional managers, and officers-in-charge fall into this category. Their primary duties involve interpreting top-level plans, transmitting directives downward, coordinating operational activities, and maintaining accountability to upper executives.


Application to Stem: According to the stem, Mr. Abesh is the officer-in-charge of the production department. He receives structural directions directly from the Managing Director (top management), executes those departmental plans, and remains formally accountable to him. Furthermore, he possesses the authority to plan the recruitment of field supervisors (lower management) to optimize manufacturing, which confirms his position as a mid-level manager.","Knowledge Point: To fulfill Mr. Abesh's expectations, the supervisor must possess strong ""Technical Skill"" (কারিগরি দক্ষতা).


Explanation: Technical skill refers to the specialized knowledge, hands-on proficiency, and practical expertise required to utilize specific tools, machinery, operating procedures, and technical methodologies effectively. This attribute is paramount for lower-level operational managers or supervisors, as they directly guide field labor and oversee day-to-day physical production tasks.


Application to Stem: In the stem, Mr. Abesh intends to appoint a supervisor with specific technical capabilities. His precise expectations are that the new hire must be highly proficient in operating manufacturing machinery and must possess the clarity to explain tasks to ground workers through practical, hands-on demonstrations. These demands directly match the definition of technical skill.


Evaluation: Based on the analysis, technical skill is the ultimate prerequisite for the supervisor's role. While mid and top-tier managers rely heavily on conceptual or human skills, a field-level supervisor cannot ensure quality control or prevent machine accidents without direct mechanical expertise. Therefore, possessing strong technical skills will enable the supervisor to successfully satisfy Mr. Abesh's operational goals and drive up factory productivity."
2025,Business Organization and Management 2nd Paper,Principles of Management,Comilla Board,Board,Mr. Suman is the owner of a large company. He determines the goals and objectives of his organization. He divides his organization into separate departments according to the nature and type of work. He appoints an expert in each department.,What is unity of command?,What is meant by technical skill?,Which principle of management has Mr. Suman followed? Explain.,Do you think the principle followed by Mr. Suman will be profitable for the organization? Give your opinion.,Unity of command means that an employee should receive orders and instructions from only one direct superior at a time.,"Knowledge: Technical skill refers to the specialized knowledge, hands-on proficiency, and expertise required to use specific tools, machinery, techniques, and operational procedures to perform tasks effectively.


Explanation: This skill is highly essential for lower-level management, supervisors, and operational field workers who directly oversee production. Having technical skill ensures that machinery is handled correctly, resource wastage is minimized, and the physical output meets the precise quality standards of the organization.","Knowledge Point: Mr. Suman has followed the fundamental ""Principle of Division of Work"" (কার্যবিভাজন বা শ্রমবিভাগ নীতি) of management.


Explanation: The principle of division of work states that the total work of an organization should be divided into small, specific parts or departments based on its nature, and each part should be assigned to an individual or group according to their specialized qualifications and capacity. This system ensures that tasks are handled systematically, leading to specialization, increased accuracy, and heightened operational speed.


Application to Stem: In the stem, Mr. Suman systematically breaks down the vast operations of his large corporate enterprise into separate, specialized departments based on the exact nature and characteristics of the tasks. Furthermore, he ensures efficiency by placing a domain-specific expert in charge of each distinct department. This strategic organizational layout directly matches the application of the division of work principle.","Knowledge Point: Yes, I strongly believe that the principle of division of work followed by Mr. Suman will prove highly profitable and beneficial for his organization.


Explanation: Implementing the division of work directly yields the benefits of specialization. When a particular task is handled repeatedly by a dedicated department run by field experts, human errors drop drastically, production cycles accelerate, and organizational resources are utilized at their maximum capacity. This directly cuts structural overhead expenses and boosts the firm's competitive edge.


Application to Stem: According to the stem, Mr. Suman's company is large-scale, where operational chaos can easily manifest without structural boundaries. By departmentalizing operations and putting dedicated specialists at the helm, he establishes an environment where tasks are performed error-free and with high professional precision.


Evaluation: Based on this structural assessment, dividing work leads to a profound increase in both labor and mechanical productivity. Since higher productivity and minimized resource wastage are the direct precursors to high financial returns, Mr. Suman's strategy is perfectly aligned with maximizing corporate profits. Therefore, it can be concluded that this principle will act as a major catalyst in driving his large company toward immense financial success."
2025,Business Organization and Management 2nd Paper,Principles of Management,Chittagong Board,Board,"Mr. Robiul is a manager of Priya Tiles Company. He is quite caring towards his subordinates and looks at everyone with the same eye. The subordinates also respect him. As a result, the mutual relationship among them is very strong. He stays aware of the needs and grievances of the employees and tries to resolve them considering the human side. One day, when a trouble arose among the subordinates regarding work, he resolved it quickly through his experience and sharp intelligence.",What is a profession?,What is meant by unity of command?,Which principle of management has Mr. Robiul followed? Explain.,Is Mr. Robiul an ideal manager in the light of the stem? Give arguments in support of your answer.,"A profession refers to a specialized occupation that requires advanced academic training, specific intellectual skills, and adherence to a strict professional code of conduct.","Knowledge: Unity of command means that an employee or subordinate should receive orders and instructions from only one direct superior or boss at a time.


Explanation: According to Henri Fayol, if a worker is subjected to orders from more than one superior, it creates confusion, overlapping authorities, and conflicts in execution. Adhering strictly to this principle prevents the evasion of responsibility, ensures seamless discipline, and maintains stable organizational relationships.","Knowledge Point: Mr. Robiul has followed the fundamental ""Principle of Equity"" (সাম্যের নীতি) of management.


Explanation: The principle of equity states that a manager must treat all subordinates with justice, fairness, and equal affection, completely avoiding any personal bias, favoritism, or discrimination. When employees feel they are treated equally and justly, their loyalty, trust, and dedication to the organization increase dramatically.


Application to Stem: In the stem, it is clearly highlighted that Mr. Robiul is highly empathetic toward his team and looks at all his subordinates with the exact same eye. This completely unbiased treatment has built deep respect and a rock-solid mutual relationship within the workplace, which matches the core application of the principle of equity.","Knowledge Point: Yes, in the light of the stem, Mr. Robiul can undoubtedly be considered an ""Ideal Manager"" (আদর্শ ব্যবস্থাপক).


Explanation: An ideal manager possesses a blend of strong human, conceptual, and interpersonal skills. Such a leader doesn't just look at numbers but understands human behavior, maintains absolute equity, proactively addresses employee grievances, and possesses the decisive problem-solving intelligence required to neutralize unexpected workplace conflicts smoothly.


Application to Stem: According to the stem, Mr. Robiul perfectly exhibits these qualities. He runs his team based on fairness, keeps a continuous check on employee needs from a human perspective, and maintains high morale. Furthermore, when an operational crisis or conflict broke out among the staff regarding work, he instantly resolved it by leveraging his vast field experience and sharp analytical intellect.


Evaluation: Based on this comprehensive behavior, Mr. Robiul fulfills all standard benchmarks of an effective leader. He successfully balances employee satisfaction with swift, intelligent conflict resolution, ensuring that organizational operations remain dynamic and completely undisturbed. Therefore, it is completely justified to declare him an ideal manager."
2025,Business Organization and Management 2nd Paper,Principles of Management,Chittagong Board,Board,"Navana Spinning Limited is a large business organization located in Comilla. There are 450 workers working in the organization. Dividing all the activities of the organization into various departments and sub-departments according to their characteristics, the responsibility and authority have been given to one skilled person for each department and sub-department.",Who is the father of modern management?,Explain the principle of scalar chain.,Which principle of management has been followed in Navana Spinning Limited? Explain.,Do you agree that the organization in the stem will get more benefits in various fields as a result of following that principle of management? Give your opinion.,Henri Fayol is the father of modern management.,"Knowledge: The principle of scalar chain implies that the line of authority and communication should extend in a continuous, unbroken chain from the highest rank to the lowest rank within an organization.


Explanation: According to Henri Fayol, this principle ensures that every executive and subordinate knows exactly who to report to and who to receive orders from, eliminating organizational communication gaps. While it maintains strict order, in absolute emergencies where hierarchical delays could cause loss, peers can communicate directly across lines using a temporary shortcut called a ""gang-plank"" with prior notification to superiors.","Knowledge Point: The fundamental ""Principle of Division of Work"" (কার্যবিভাজন বা শ্রমবিভাগ নীতি) has been followed in Navana Spinning Limited.


Explanation: The principle of division of work dictates that the total workload of an corporate enterprise should be divided into smaller, specific operational segments or departments based on specialization. Instead of forcing one person to execute everything, assigning distinct functions to individual employees based on their specialized skills allows them to build speed, eliminate operational errors, and attain maximum efficiency over time.


Application to Stem: In the stem, Navana Spinning Limited is described as a large-scale enterprise with a workforce of 450 employees. To run operations systematically, management logically divided all corporate tasks into specialized departments and sub-departments based on their core traits. Furthermore, they placed a highly skilled individual in charge of each specific division, which perfectly demonstrates the execution of the division of work principle.","Knowledge Point: Yes, I completely agree with the statement that Navana Spinning Limited will attain greater operational advantages across multiple sectors by implementing the principle of division of work.


Explanation: For any large-scale industrial firm, structural specialization is the cornerstone of commercial growth. Breaking down complex industrial functions into department-specific tasks leads to a massive reduction in operational time, prevents the duplication of effort, and minimizes resource wastage. This structural discipline ensures that production quality remains uniformly high while decreasing overhead expenses.


Application to Stem: According to the stem, Navana Spinning Limited operates on a massive scale with 450 workers. By organizing the workforce into dedicated, expertly managed units, the enterprise creates an optimized environment where assignments are executed smoothly without chaos, ensuring high-quality yarn output and stable processing cycles.


Evaluation: Based on this strategic arrangement, the division of work transforms ordinary industrial labor into specialized assets, resulting in a dramatic increase in collective productivity. Since high structural productivity and optimized operational speed are the absolute precursors to maximizing corporate profitability, the company will gain immense competitive advantages in the textiles market. Therefore, it is entirely rational to conclude that following this principle will bring comprehensive long-term success to Navana Spinning Limited."
2025,Business Organization and Management 2nd Paper,Principles of Management,Sylhet Board,Board,"In a factory, under two supervisors 'A' and 'B', 10 workers each are engaged in the same type of work in two separate rooms. The instructions given by both supervisors regarding overtime matters of the workers were not the same. Although the rate of remuneration was identical, the working hours of the workers in the two rooms were different. As a result, dissatisfaction arises among the workers.",Who is the father of scientific management?,"""Decentralization increases the importance of subordinates""—Explain.",Which principle of management have the supervisors in the stem violated? Explain.,Recommend necessary measures to remove the dissatisfaction among the workers in the stem.,Frederick Winslow (F.W.) Taylor is the father of scientific management.,"Knowledge: Decentralization increases the importance of subordinates because it transfers decision-making authority and operational autonomy from the top management down to lower-level executives.


Explanation: When authority is decentralized, lower-level employees no longer have to wait constantly for higher approvals to execute day-to-day operations. This trust boosts their self-confidence, enhances operational skills, and fosters a sense of organizational belonging. As their decision-making power expands, their accountability and overall role within the organizational structure become highly vital.","Knowledge Point: The supervisors in the stem have violated the ""Principle of Equity"" (সাম্যের নীতি) and the ""Principle of Unity of Direction"" (নির্দেশনার ঐক্য নীতি). Note: The root cause of the operational breakdown is a clear violation of Equity due to unequal treatment for identical work profiles.


Explanation: The principle of equity dictates that all subordinates performing similar job profiles under similar conditions must be treated with equal justice, fairness, and uniform standards. If workers performing the same category of labor are subjected to varying hours or uncoordinated rules, it breeds extreme resentment and fractures factory harmony.


Application to Stem: In the stem, two identical groups of 10 workers are executing the exact same type of manufacturing tasks in two different rooms under supervisors 'A' and 'B'. However, due to poor coordination, the supervisors issued conflicting rules regarding overtime, forcing one room to clock different hours than the other for the same rate of pay. This blatant disparity in managing working hours for an identical job represents a text-book violation of administrative equity.","Knowledge Point: To eliminate the widespread dissatisfaction among the factory workers, the company management must immediately establish a Uniform Service Rule/Policy and enforce the Principle of Equity across all departments.


Explanation: Dissatisfaction in an industrial setup can only be cleared when workers perceive absolute transparency, institutional fairness, and a lack of arbitrary supervision. Management must step in to override conflicting supervisory orders by standardizing work schedules, overtime calculations, and reward systems across all operational floors.


Application to Stem: According to the stem, the workers became highly dissatisfied because supervisors 'A' and 'B' acted autonomously without a unified policy, causing room-wise discrimination in working hours. To fix this, management must design an identical, clear blueprint for overtime and operational hours that applies uniformly to both supervisor-led teams.


Evaluation: Based on these observations, creating a centralized, balanced work protocol is the only logical remedy to end workplace friction. By formalizing identical working hours for identical job descriptions, the factory will restore horizontal equity and eliminate the root cause of employee anger. Enforcing these systematic steps will successfully defuse the current crisis, boost labor morale, and re-establish standard industrial productivity."
