Year,Subject,Chapter,Level,Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
2025,Agriculture 1st Paper,Chapter 1,Combined,Board,Where is the Bangladesh Rice Research Institute located?,Dhaka,Gazipur,Dinajpur,Panchagarh,b,"BRRI is located in Joydebpur, Gazipur."
2025,Agriculture 1st Paper,Chapter 1,Combined,Board,Which of the following is a cereal crop?,Lentil,Mustard,Maize,Chickpea,c,"Rice, wheat, and maize are examples of cereal crops."
2025,Agriculture 1st Paper,Chapter 1,Combined,Board,In which year was the agricultural university located in Mymensingh established?,1973,1961,1952,1921,b,Bangladesh Agricultural University was established in 1961.
2025,Agriculture 1st Paper,Chapter 1,Combined,Board,"Stimulus        After passing Higher Secondary, Rabiul was admitted to an Agricultural University in Mymensingh, and he successfully completed every step of his university’s educational activities.
Question        
The activities of the university mentioned in the stimulus include: (i. Education ii. Research iii. Extension)",i & ii,i & iii,ii & iii,"i, ii & iii",d,"Agricultural universities focus on education, research, and extension."
2024,Agriculture 1st Paper,Chapter 1,Rajuk College,College,On what percentage of land are horticultural crops cultivated?,70%,50%,30%,14%,d,About 14% of cultivable land in Bangladesh is used for horticulture.
2024,Agriculture 1st Paper,Chapter 1,Rajuk College,College,How many types of spices are cultivated in Bangladesh?,14 types,17 types,50 types,70 types,b,"Currently, around 17 types of spices are grown in Bangladesh."
2024,Agriculture 1st Paper,Chapter 1,Rajuk College,College,In which district is Hajee Mohammad Danesh Science & Tech University located?,Gazipur,Dinajpur,Mymensingh,Rajshahi,b,It is located in the Dinajpur district.
2024,Agriculture 1st Paper,Chapter 1,Rajuk College,College,How many farmers participate in a courtyard meeting (Uthon Boithok)?,5-10,10-15,15-20,25-30,b,"Usually, 10-15 farmers participate in such meetings."
2024,Agriculture 1st Paper,Chapter 1,DRMC,College,In which district is the country's only Fisheries College located?,Jamalpur,Faridpur,Jessore,Rajshahi,a,The only Fisheries College is located in Jamalpur.
2024,Agriculture 1st Paper,Chapter 1,DRMC,College,What is the typical number of participants in a Farmers' Meeting?,20-30,25-30,30-40,50-60,d,"Usually, 50 to 60 farmers attend these meetings."
2024,Agriculture 1st Paper,Chapter 1,DRMC,College,Which is the mobile inquiry number for agricultural information?,1210,7868,7676,7878,c,7676 is a dedicated number for AIS (Agriculture Information Service).
2024,Agriculture 1st Paper,Chapter 1,Adamjee College,College,In Farmers' Field School- (i) 50 farmers are trained (ii) 20 sessions for hands-on learning (iii) 4 trainers provide training,i & ii,i & iii,ii & iii,"i, ii & iii",a,It involves 50 trainees and 20 sessions.
2024,Agriculture 1st Paper,Chapter 1,Adamjee College,College,Fish belongs to which phylum?,Animalia,Chordata,Annelida,Porifera,b,"Fish are vertebrates, belonging to the phylum Chordata."
2024,Agriculture 1st Paper,Chapter 1,Adamjee College,College,What percentage of animal protein comes from fish?,40%,50%,60%,70%,c,Fish provides about 60% of our daily animal protein.
2024,Agriculture 1st Paper,Chapter 1,Rangpur CPS,College,Which one is an industrial crop?,Wheat,Rubber,Basak,Napier,b,"Rubber is processed in industries, hence an industrial crop."
2024,Agriculture 1st Paper,Chapter 1,Rangpur CPS,College,How many sectors of agriculture are there?,3,4,5,6,d,"There are 6 main sectors including crops, fisheries, livestock, and forest."
2023,Agriculture 1st Paper,Chapter 1,Dhaka Board,Board,Which of the following is a green manure crop?,China,Coffee,Sunn hemp,Sesame,c,Sunn hemp (Dhaincha/Shonpat) is used to make green manure.
2023,Agriculture 1st Paper,Chapter 1,Dhaka Board,Board,Why is tomato called a horticultural crop?,All harvested at once,Needs intensive care,Grown in low lands,Price is low,b,Horticultural crops require intensive care and individual attention.
2023,Agriculture 1st Paper,Chapter 1,Dhaka Board,Board,What is the main source of agricultural information and services?,Experienced farmer,Farmers' meeting,Farmers' school,NGO,a,Experienced farmers are the primary and most accessible source.
2022,Agriculture 1st Paper,Chapter 1,Dhaka Board,Board,Who is known as the local 'Agriculture Information Storehouse'?,General farmer,Experienced farmer,Elderly farmer,Farmers' meeting,b,Experienced farmers are called so due to their practical knowledge.
2022,Agriculture 1st Paper,Chapter 1,Dhaka Board,Board,Where is the headquarters of BRRI located?,Rajshahi,Dinajpur,Mymensingh,Gazipur,d,The Bangladesh Rice Research Institute (BRRI) is in Gazipur.
2022,Agriculture 1st Paper,Chapter 1,Dhaka Board,Board,What is a characteristic of field crops?,Individual care for each plant,Harvested in stages,"Low price at start, increases later",Requires relatively more care,c,Field crops usually have a lower market price during harvest season.
2019,Agriculture 1st Paper,Chapter 1,Dhaka Board,Board,In which year was Bangladesh Agricultural University established?,1957,1961,1965,1969,b,BAU was established in Mymensingh in 1961.
2019,Agriculture 1st Paper,Chapter 1,Dhaka Board,Board,Where is the headquarters of BARI located?,Gazipur,Jamalpur,Faridpur,Pirojpur,a,Bangladesh Agricultural Research Institute (BARI) is in Gazipur.
2019,Agriculture 1st Paper,Chapter 1,Dhaka Board,Board,Which of the following is a horticultural crop?,Cotton,Rice,Jute,Potato,d,Potato is considered a horticultural (vegetable) crop.
2019,Agriculture 1st Paper,Chapter 1,Dhaka Board,Board,Where is the headquarters of Agriculture Information Service (AIS)?,Joydebpur,Mohakhali,Dhanmondi,Khamarbari,d,"AIS is located in Khamarbari, Farmgate, Dhaka."
