Subject,Chapter,Type,Category,q_text,opt_a,opt_b,opt_c,opt_d,Answer,Explanation,HTML_Code
Accounting 1st,Chapter 2 : Books of Accounts,Rajshahi Board - 2025,board,"Received 5,400 TK from Hasan Brothers after 10% discount. What is the discount amount?",540,600,"4,860 TK","5,400 TK",b,"Total was 6,000 TK. 6,000 TK x 10% = 600 TK.",
Accounting 1st,Chapter 2 : Books of Accounts,Rajshahi Board - 2025,board,"What does ""Credit"" signify in accounting?",Asset increase and Liability increase,Asset decrease and Liability increase,Asset decrease and Liability decrease,Asset increase and Liability decrease,b,Modern rule: Assets decrease = Credit,
Accounting 1st,Chapter 2 : Books of Accounts,Rajshahi Board - 2025,board,Which is the ultimate destination (final resting place) of a transaction?,Ledger,Journal,Cash Account,Final Account,a,"The Ledger is the ""Permanent Book"" or final destination.",
Accounting 1st,Chapter 2 : Books of Accounts,Dinajpur Board - 2025,board,Which step of the Accounting Cycle is optional?,Journal,Ledger,Trial Balance,Worksheet,d,Asset Worksheet is a tool for convenience and is not a mandatory step.,
Accounting 1st,Chapter 2 : Books of Accounts,Dinajpur Board - 2025,board,What is the main purpose of a Ledger?,Profit/Loss নির্ণয়,Permanent storage,Financial position,Arithmetical accuracy,b,"Ledgers provide a permanent, classified record of all transactions.",
Accounting 1st,Chapter 2 : Books of Accounts,Dinajpur Board - 2025,board,"What can be known from the Sales Journal?

i. Total credit sales amount

ii. Total sales amount

iii. Total accounts receivable amount",i & ii,i & iii,ii & iii,"i, ii & iii",b,"The Sales Journal only records credit sales of merchandise. Therefore, it shows the total credit sales (i) and the total increase in accounts receivable (iii). It does not show total sales because cash sales are recorded in the Cash Receipt Journal.",
Accounting 1st,Chapter 2 : Books of Accounts,Dinajpur Board - 2025,board,"Parul Traders buys goods for 1,00,000 TK at 10% discount. Asset week later, they Payable half with a 10% cash discount. Discount amount?","4,500 TK","9,000 TK","10,000 TK","20,000 TK",a,"Net purchase: 90,000 TK. Half: 45,000 TK. Cash discount: 45,000 TK x 10% = 4,500 TK.",
Accounting 1st,Chapter 2 : Books of Accounts,Dinajpur Board - 2025,board,"(Based on previous) After paying half, how much liability remains?","50,000 TK","45,000 TK","41,000 TK","40,000 TK",b,"Total debt was 90,000 TK. 45,000 TK was settled. Remaining is 45,000 TK.",
Accounting 1st,Chapter 2 : Books of Accounts,Dinajpur Board - 2025,board,Which account always shows a Debit Balance?,Capital,Liability,Income,Asset,d,Assets and Expenses maintain a natural Debit balance.,
Accounting 1st,Chapter 2 : Books of Accounts,Barishal Board - 2025,board,"6% Debentures of 2,00,000 TK issued to Mr. Jahir. What is the Journal entry?","Cash Debit, Debenture Credit","Jahir Debit, Loan Credit","Cash Debit, Jahir Credit","Debenture Debit, Cash Credit",a,Issuing debentures brings in cash and creates a long-term liability.,
Accounting 1st,Chapter 2 : Books of Accounts,Barishal Board - 2025,board,Which of the following shows a Debit Balance?,Debtors,Creditors,Sales,Outstanding Salary,a,"Debtors is an Asset, therefore it shows a Debit balance.",
Accounting 1st,Chapter 2 : Books of Accounts,Jashore Board - 2025,board,What is the permanent storehouse of all transactions?,Journal,Ledger,Cashbook,Trial Balance,b,"The Ledger is the ""King of Books"" where data is stored permanently.",
Accounting 1st,Chapter 2 : Books of Accounts,Jashore Board - 2025,board,"Mr. Abed sold goods for 40,000 TK at 10% trade discount. Later, 2/3rd of the money was received at a 2% cash discount. Discount amount?",240,480,720,800,b,"Net Sale: 36,000 TK. 2/3rd is 24,000 TK. Cash Discount: 24,000 TK x 2% = 480.",
Accounting 1st,Chapter 2 : Books of Accounts,Jashore Board - 2025,board,"Based on the previous data, how will the transaction on the 9th be recorded in the Cash Book? i. Debit side cash column; ii. Debit side bank column; iii. Debit side discount column.",i and ii,i and iii,ii and iii,"i, ii and iii",b,"Cash received is recorded in the debit cash column, and the allowed discount is recorded in the debit discount column.",
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2025,board,"If a deposited check is dishonored/rejected, where is it written in the Cash Book?",Credit side Bank column,Debit side Bank column,Credit side Cash column,Debit side Cash column,a,"To reverse the previous entry, the Bank column must be credited.",
Accounting 1st,Chapter 2 : Books of Accounts,Sylhethet Board - 2025,board,What kind of book is the Journal called?,Final book,Rough book,Primary book,Main book,c,"Journals are the ""Primary"" or ""Original"" books of entry.",
