Year,Subject,Chapter,Level,Category,Stem,Question_A,Question_B,Question_C,Question_D,Ans_A,Ans_B,Ans_C,Ans_D
2019,Finance 1st,5,Dhaka Board,Board,"P Ltd. has an annual cash requirement of TK 4,80,000. The company maintains marketable securities. The required rate of return is 12%, and the transaction cost to convert these securities into cash is TK 150 per transaction. On the other hand, Q Ltd.'s average production period is 50 days, average collection period is 40 days, and average payment period is 30 days. Its annual cash requirement is TK 3,00,000.",What is Economic Order Quantity (EOQ)?,What is current asset management? Explain.,Calculate the optimal cash balance for P Ltd.,"Calculate the minimum operating cash for Q Ltd. If the minimum cash is fixed at TK 60,000, what will be the effect on cash turnover? Analyze.","EOQ is the ideal order quantity a company should purchase to minimize inventory costs such as holding costs, shortage costs, and order costs.","Current asset management involves managing a firm's short-term assets (cash, inventory, accounts receivable) to ensure the company has enough liquidity to meet its obligations and operate efficiently.","1. Data: $T = 4,80,000$; $b = 150$; $i = 12\%$ or 0.12.

2. Formula (Baumol Model): $C = \sqrt{\frac{2 \times T \times b}{i}}$.

3. Calculation: $C = \sqrt{\frac{2 \times 4,80,000 \times 150}{0.12}} = \sqrt{1,20,00,00,000} = 34,641$.","1. Operating Cycle: $50 + 40 = 90$ days. Cash Cycle: $90 - 30 = 60$ days.

2. Cash Turnover: $360 / 60 = 6$ times.

3. Minimum Cash: $3,00,000 / 6 = 50,000$.

4. Effect: If minimum cash is TK 60,000, cash turnover decreases ($3,00,000 / 60,000 = 5$ times), indicating less efficiency in using cash."
2019,Finance 1st,5,Rajshahi Board,Board,"Mr. Tajin purchased goods on credit from X Ltd. The maximum payment period is 60 days. According to the credit terms, a 3% discount is available if paid within 14 days. Mr. Tajin decided to take a bank loan at 17% interest to grab the discount. Later, the credit period was extended by 10 days.",What is trade credit?,Why is commercial paper used?,What is the cost of trade credit for Mr. Tajin?,"In light of the stem, if the payment period is increased by 10 days, analyze the logicality of taking a bank loan.",Trade credit is an agreement where a customer can purchase goods on account and pay the supplier at a later date.,"Commercial paper is used by large, highly-rated corporations to raise short-term funds for working capital needs at a lower interest rate than bank loans.","1. Data: $CD = 3\%$; $CP = 60$ days; $DP = 14$ days.

2. Formula: $Ktc = \frac{CD}{100 - CD} \times \frac{360}{CP - DP} \times 100$.

3. Calculation: $Ktc = \frac{3}{97} \times \frac{360}{46} \times 100 = 0.0309 \times 7.826 \times 100 = 24.18\%$.","1. New CP: $60 + 10 = 70$ days.

2. New Cost: $Ktc = \frac{3}{97} \times \frac{360}{70 - 14} \times 100 = 19.88\%$.

3. Comparison: Bank loan rate (17%) is lower than the cost of trade credit (19.88%).

4. Conclusion: It is still logical to take the bank loan because the cost of giving up the discount (19.88%) is higher than the interest paid to the bank."
2019,Finance 1st,5,Rajshahi Board,Board,"AB Company's annual demand is 2,00,000 packets. Ordering cost per order is TK 60. Carrying cost per unit is TK 2. Lead time is 4 days. The company decides to maintain 700 packets as safety stock. Due to special reasons, lead time increases to 6 days.",What is mid-term financing?,Why is inventory management important?,Calculate the EOQ for AB Company.,"Evaluate the logic of placing a re-order when 2,500 packets are remaining based on the stem.",Mid-term financing refers to loans or funding obtained for a period typically ranging from one to five years.,It is important because it prevents both overstocking (which ties up capital) and understocking (which leads to lost sales and production delays).,"1. Data: $A = 2,00,000$; $O = 60$; $C = 2$.

2. Formula: $EOQ = \sqrt{\frac{2 \times A \times O}{C}}$.

3. Calculation: $EOQ = \sqrt{\frac{2 \times 2,00,000 \times 60}{2}} = \sqrt{1,20,00,000} = 3,464$.","1. Daily Demand: $2,00,000 / 360 \approx 556$ packets.

2. Re-order Level: (Daily demand $\times$ Lead time) + Safety Stock.

3. Calculation (Old): $(556 \times 4) + 700 = 2,924$. Calculation (New): $(556 \times 6) + 700 = 4,036$.

4. Conclusion: Re-ordering at 2,500 packets is illogical and risky because the re-order level should be at least 2,924 (normal) or 4,036 (extended lead time) to avoid stockouts."
2019,Finance 1st,5,Comilla Board,Board,"Padma Company Ltd. is a consumer goods manufacturer. Recently, the company purchased raw materials on credit under the terms 2/10, net 30. The company's average inventory period is 10 days, and the average payment period is 15 days. It takes 20 days to collect receivables after a sale. Its competitor, Meghna Company, has a cash conversion cycle of 18 days.",What is commercial paper?,What is meant by a line of credit?,Calculate the cost of trade credit for Padma Company.,In which company's case will cash remain invested for a relatively shorter period? Give your opinion with logic.,"Commercial paper is an unsecured, short-term debt instrument issued by a corporation, typically for the financing of accounts receivable and inventories and meeting short-term liabilities.","A line of credit is a flexible loan from a bank or financial institution that allows a borrower to access funds up to a pre-approved limit at any time, paying interest only on the amount actually borrowed.","1. Data: $CD = 2\%$; $CP = 30$ days; $DP = 10$ days.

2. Formula: $Ktc = \frac{CD}{100 - CD} \times \frac{360}{CP - DP} \times 100$.

3. Calculation: $Ktc = \frac{2}{98} \times \frac{360}{20} \times 100 = 0.0204 \times 18 \times 100 = 36.73\%$.","1. Padma Co. CCC: Inventory Period + Collection Period - Payment Period.

2. Calculation: $10 + 20 - 15 = 15$ days.

3. Meghna Co. CCC: 18 days.

4. Conclusion: Cash will remain invested for a shorter period in Padma Company (15 days) compared to Meghna Company (18 days). Thus, Padma Company is more efficient in managing its cash cycle."
2019,Finance 1st,5,Comilla Board,Board,"Shapla Manufacturing Ltd. has an annual raw material demand of 1,00,000 units. Ordering cost per order is TK 40. The purchase cost per unit is TK 20, and the carrying cost is 20% of the purchase price. Lead time is 4 days. The company maintains a safety stock equal to 2 days of usage. The inventory manager places a re-order when the stock level reaches 2,500 units. The company operates 250 days a year.",What is working capital?,What is the effect on cash turnover if the cash conversion cycle changes?,Calculate the total inventory cost for Shapla Manufacturing Ltd.,Do you think the action taken by the inventory manager is logical? Give your opinion based on mathematical analysis.,"Working capital is the difference between a company's current assets (like cash, accounts receivable, and inventories) and its current liabilities (like accounts payable).","1. Cash turnover and the cash conversion cycle have an inverse relationship.

2. If the cash conversion cycle decreases, cash turnover increases, meaning the company uses its cash more efficiently.","1. Data: $A = 1,00,000$; $O = 40$; $C = 20 \times 20\% = 4$.

2. EOQ: $\sqrt{\frac{2 \times 1,00,000 \times 40}{4}} = \sqrt{20,00,000} = 1,414$ units.

3. Total Cost: $(\frac{A}{EOQ} \times O) + (\frac{EOQ}{2} \times C)$.

4. Calculation: $(\frac{1,00,000}{1,414} \times 40) + (\frac{1,414}{2} \times 4) = 2,828 + 2,828 = 5,656$ TK.","1. Daily Usage: $1,00,000 / 250 = 400$ units.

2. Safety Stock: $400 \times 2 = 800$ units.

3. Re-order Point (ROP): (Daily usage $\times$ Lead time) + Safety stock.

4. Calculation: $(400 \times 4) + 800 = 2,400$ units.

5. Conclusion: The manager's decision to re-order at 2,500 units is logical as it is slightly above the calculated ROP (2,400), providing an extra buffer against stockouts."
2019,Finance 1st,5,Jessore Board,Board,"Sunmoon Computers can either accept trade credit under the terms 3/10, net 30 or take a short-term bank loan at a 2% monthly compound interest rate to finance its working capital.",What is mid-term financing?,What is meant by re-order level?,Calculate the cost of trade credit for Sunmoon Computers based on the stem.,Which loan option would be profitable for Sunmoon Computers? Analyze.,Mid-term financing refers to borrowing money for a period that typically ranges from one to five years.,The re-order level is the specific level of inventory at which a new order must be placed to replenish stock before it runs out during the lead time.,"1. Data: $CD = 3\%$; $CP = 30$ days; $DP = 10$ days.

2. Formula: $Ktc = \frac{CD}{100 - CD} \times \frac{360}{CP - DP} \times 100$.

3. Calculation: $Ktc = \frac{3}{97} \times \frac{360}{20} \times 100 = 0.0309 \times 18 \times 100 = 55.67\%$.","1. Option 1 (Trade Credit Cost): 55.67%.

2. Option 2 (Bank Loan EIR): Monthly rate = 2%.

3. Formula: $EIR = (1 + i)^m - 1 = (1 + 0.02)^{12} - 1 = 1.2682 - 1 = 26.82\%$.

4. Conclusion: The bank loan is more profitable because its effective annual rate (26.82%) is much lower than the cost of giving up the trade credit discount (55.67%)."
2019,Finance 1st,5,Jessore Board,Board,"Hossain and Hasan are poultry farmers with equal capital. Hossain farms broilers and often faces cash crises 15–20 days before sale. Hasan farms broilers, layers, and produces feed, but never faces a crisis.",What is capital rationing?,What is meant by mutually exclusive projects?,What is the cause of the financial crisis in Hossain’s farm?,"""Despite doing so much, Hasan never faced a financial crisis""—Why?",Capital rationing is the process of placing a limit on the amount of new projects or investments a company can undertake by setting a budget for capital expenditures.,"1. These are projects where the acceptance of one automatically results in the rejection of others.

2. They compete for the same resource or solve the same problem, so only the best one is chosen.","1. Hossain suffers from a long Cash Conversion Cycle and high inventory period.

2. Broilers require continuous investment (feed/medicine) without generating cash until they reach market weight.

3. This creates a ""liquidity gap"" where cash outflows continue while inflows are delayed until the end of the term.","1. Hasan uses Product Diversification to ensure multiple, overlapping cash streams.

2. Selling layers (eggs) and feed provides daily cash inflow, providing liquidity to the business.

3. This steady daily income offsets the high maintenance costs of the broiler section.

4. Consequently, his cash conversion cycle is effectively shorter, preventing any ""empty pocket"" periods."
2019,Finance 1st,5,Chittagong Board,Board,"Shyamoli Co. sells 500 mobile sets monthly. Maintenance cost per mobile is TK 1, purchase price is TK 1,500, and ordering cost is TK 30.",What is safety stock?,"""There is a positive relationship between lead time and inventory cost.""—Explain.",Calculate the Economic Order Quantity (EOQ) for Shyamoli Company.,"If the manager buys 500 sets per order, evaluate the decision based on total cost.",Safety stock is an extra quantity of an item carried in inventory to prevent stockouts due to uncertainties in demand or supply.,"1. Longer lead time requires a higher re-order point and more safety stock to avoid stockouts.

2. Higher safety stock increases the average inventory held, leading to higher carrying costs.","1. Data: Annual demand ($A$) = $500 \times 12 = 6,000$; $O = 30$; $C = 1$.

2. Formula: $EOQ = \sqrt{\frac{2 \times A \times O}{C}}$.

3. Calculation: $EOQ = \sqrt{\frac{2 \times 6000 \times 30}{1}} = 600$ units.","1. At EOQ (600): Total Cost = $(\frac{6000}{600} \times 30) + (\frac{600}{2} \times 1) = 600$ TK.

2. At 500 units: Total Cost = $(\frac{6000}{500} \times 30) + (\frac{500}{2} \times 1) = 610$ TK.

3. The decision to buy 500 units increases the total annual inventory cost by TK 10.

4. Therefore, the manager's decision is not optimal compared to the EOQ of 600 units."
2019,Finance 1st,5,Barisal Board,Board,"Mr. Kamal is concerned about liquidity and thinks of collecting working capital from long-term sources. He also wants adequate inventory for peak seasons, noting 50% of sales are on credit with 3-month collection.",What is short-term financing?,What are the advantages of short-term financing?,Mention the different sources of collecting current assets as per the stem.,How logical is the policy adopted by Mr. Kamal for collecting current assets?,Short-term financing refers to the collection of funds for a period of less than one year to meet daily operating expenses.,"1. It is typically less expensive than long-term financing and offers greater flexibility.

2. It can be arranged quickly to meet seasonal demands or sudden cash needs.","1. Long-term sources (as explicitly mentioned in the stem).

2. Trade credit (indicated by the 50% credit sales and 3-month collection).

3. Accruals or spontaneous sources inherent in regular business operations.","1. Kamal is following the Conservative Policy by using long-term funds for current assets.

2. This is highly logical for risk-aversion as it ensures the company never runs out of cash.

3. However, it is less logical for profitability because long-term interest rates are generally higher.

4. Overall, it is a ""low-risk, low-profit"" strategy suited for companies worried about liquidity."
2019,Finance 1st,5,Barisal Board,Board,"Mr. Hamid works at a private firm that buys raw materials on credit. A supplier offered terms of 2/10, net 45. Hamid requested the owner to take the 2% discount. The owner argued, ""I have no cash. To take a 2% discount, I'd need a bank loan at 14% interest, which won't be profitable."" Hamid failed to convince him that giving up the discount costs more.",What is a revolving credit?,How is the cost of trade credit determined?,What is the annual cost of trade credit according to the terms in the stem?,"Between Hamid and his owner, whose decision was correct? Explain.","Revolving credit is a formal, legal commitment by a bank to lend up to a maximum amount to a firm for a specific period, where the firm pays a commitment fee on the unused portion.","1. The cost of trade credit is determined by calculating the annual interest rate ""lost"" by not taking the cash discount.

2. It depends on the discount percentage, the discount period, and the final credit period.","1. Data: $CD = 2\%$; $CP = 45$ days; $DP = 10$ days.

2. Formula: $Ktc = \frac{CD}{100 - CD} \times \frac{360}{CP - DP} \times 100$.

3. Calculation: $Ktc = \frac{2}{98} \times \frac{360}{35} \times 100 = 20.99\%$.","1. Hamid's decision was correct.

2. The annual cost of giving up the discount ($Ktc$) is 20.99%.

3. The cost of the bank loan is only 14%.

4. Since the bank loan is cheaper than the trade credit cost ($14\% < 20.99\%$), the company saves 6.99% by borrowing from the bank to pay the supplier early."
